council,KFC Count,McDonald's Count,Hungry Jack's Count,Median taxable income 2021-22,Individuals 2021-22,Total Fast Food Count
Ballarat,5,5,3,51134,30475,13
Banyule,1,2,1,59295,10884,4
Barwon - West,1,1,0,53278,2097,2
Baw Baw,2,2,0,47696,4138,4
Bayside,0,0,0,67957,13503,0
Bendigo,5,4,2,49064,21450,11
Boroondara,2,2,0,62314,11566,4
Brimbank,6,6,4,49204,17865,16
Brunswick - Coburg,0,2,0,64984,13440,2
Campaspe,2,1,0,48218,9829,3
Cardinia,5,5,1,51036,6031,11
Casey - North,4,3,2,52352,13255,9
Casey - South,5,5,3,52362,22784,13
Creswick - Daylesford - Ballan,0,0,0,47020,1724,0
Dandenong,11,11,3,46495,19724,25
Darebin - North,3,3,1,56459,21242,7
Darebin - South,1,0,0,62561,11865,1
Essendon,1,0,0,60857,9856,1
Frankston,4,8,2,52579,44500,14
Geelong,4,10,2,53432,11339,16
Gippsland - East,0,0,0,42665,1061,0
Gippsland - South West,2,2,0,42092,2957,4
Glen Eira,2,2,1,62708,15319,5
Glenelg - Southern Grampians,2,2,1,48248,2289,5
Grampians,5,4,2,45071,2928,11
Heathcote - Castlemaine - Kyneton,0,0,0,44819,1991,0
Hobsons Bay,0,0,1,71329,10498,1
Keilor,0,3,1,61659,12571,4
Kingston,4,3,2,60277,14602,9
Knox,6,6,3,51882,15012,15
Latrobe Valley,1,1,0,45998,4662,2
Limestone Coast,0,0,0,45579,714,0
Loddon - Elmore,1,1,0,43087,1899,2
Macedon Ranges,4,5,0,56554,5383,9
Manningham - East,0,1,0,49819,13702,1
Manningham - West,0,1,0,50576,9689,1
Maribyrnong,4,3,2,58138,14903,9
Maroondah,2,1,2,55667,16435,5
Maryborough - Pyrenees,0,0,0,40044,643,0
Melbourne City,9,11,6,52232,10586,26
Melton - Bacchus Marsh,9,9,5,53748,19050,23
Mildura,2,2,1,45670,3932,5
Moira,2,1,0,46256,2968,3
Monash,5,9,3,51433,15877,17
Moreland - North,2,3,1,59731,16776,6
Mornington Peninsula,8,9,3,50480,7876,20
Murray River - Swan Hill,1,1,0,43413,1665,2
Murray and Mallee,0,0,0,44666,692,0
Nillumbik - Kinglake,2,3,1,56082,6441,6
Port Phillip,3,4,1,66889,11909,8
Shepparton,4,3,1,46012,4359,8
Stonnington - East,3,5,1,67495,14504,9
Stonnington - West,1,2,1,71659,13776,4
Sunbury,2,2,1,56440,16764,5
Surf Coast - Bellarine Peninsula,4,4,1,50430,13962,9
Tullamarine - Broadmeadows,9,9,8,46873,18962,26
Upper Goulburn Valley,1,1,0,47525,3216,2
Wangaratta - Benalla,2,3,1,43841,1915,6
Warrnambool - Otway Ranges,2,3,1,48796,3904,6
Wellington,4,5,4,44733,5514,13
Whitehorse - East,4,4,1,53691,16259,9
Whitehorse - West,2,3,1,50218,14217,6
Whittlesea - Wallan,9,10,6,51527,9702,25
Wodonga - Alpine,2,1,0,50383,4752,3
Wyndham,15,12,8,53619,35846,35
Yarra,2,4,1,70200,14162,7
Yarra Ranges,3,5,2,50707,3881,10
