Name,Latitude,Longitude,Suburb
KFC Springvale,-37.933632,145.157899,SPRINGVALE
KFC Crown Casino Melbourne,-37.8251686,144.9586944,SOUTHBANK
KFC Glen Waverley,-37.9030766,145.1603991,GLEN WAVERLEY
KFC Glen Waverley Central,-37.8805373,145.1640533,GLEN WAVERLEY
KFC The Glen,-37.8761208,145.1662699,GLEN WAVERLEY
KFC Bourke Street Melbourne,-37.8131983,144.967495,MELBOURNE
KFC Clayton,-37.9292544,145.1228248,CLAYTON SOUTH
KFC Noble Park,-37.9587656,145.18461,NOBLE PARK
KFC Freshwater Place,-37.8216843,144.9627613,SOUTHBANK
KFC Melbourne Central Food Court,-37.810559,144.9627448,MELBOURNE
KFC Burwood East,-37.8511153,145.1429873,BURWOOD EAST
KFC Elizabeth Street Melbourne,-37.8173256,144.9648377,MELBOURNE
KFC Knox City (Outside),-37.8699516,145.242281,WANTIRNA SOUTH
KFC Eastlink Northbound,-37.912832,145.2137271,SCORESBY
KFC Dandenong Market,-37.9844627,145.2132208,DANDENONG
KFC Oakleigh,-37.89272260000001,145.0891321,OAKLEIGH
KFC Rowville,-37.9184144,145.2354435,ROWVILLE
KFC Eastlink Southbound,-37.9134377,145.21729,SCORESBY
KFC Keysborough,-37.9916018,145.1469164,KEYSBOROUGH
KFC Hawthorn,-37.8219084,145.0356216,HAWTHORN
KFC 401 Swanston Street,-37.8090187,144.9632364,MELBOURNE
KFC Carlton,-37.8006094,144.9636508,CARLTON
KFC Prahran,-37.8459254,144.994188,SOUTH YARRA
KFC Spencer St,-37.8175107,144.9531066,DOCKLANDS
KFC Collins St,-37.8187781,144.9544249,MELBOURNE
KFC Caulfield,-37.8766435,145.0422888,CAULFIELD EAST
KFC Burnley,-37.8263213,145.0020931,RICHMOND
KFC East Brighton,-37.9003712,145.0077312,BRIGHTON EAST
KFC Flemington,-37.7882281,144.9330834,FLEMINGTON
KFC Victoria Gardens Food Court,-37.8130598,145.0116048,RICHMOND
KFC Waterfront City Docklands,-37.8123577,144.9373944,DOCKLANDS
KFC Footscray,-37.7985073,144.8899719,FOOTSCRAY
KFC Yarraville,-37.82454,144.8815329,YARRAVILLE
KFC Highpoint II,-37.7730484,144.8888436,MARIBYRNONG
KFC Thornbury,-37.758523,144.9929394,THORNBURY
KFC Kew,-37.8042357,145.037313,KEW
KFC Moonee Ponds,-37.7660229,144.9238708,MOONEE PONDS
KFC Highpoint - Level 3,-37.775616,144.8886445,MARIBYRNONG
KFC St Kilda,-37.86687810000001,144.9783258,ST KILDA
KFC Ormond,-37.904669,145.0436328,ORMOND
KFC Niddrie,-37.7419884,144.9036336,ESSENDON NORTH
KFC Altona North,-37.8320007,144.847625,ALTONA NORTH
KFC Sunshine,-37.7786496,144.8402513,SUNSHINE
KFC Sunshine Market Place,-37.7821433,144.8314131,SUNSHINE
KFC Coburg,-37.7411159,144.9628222,COBURG
KFC Cranbourne West,-38.110549,145.2590913,CRANBOURNE WEST
KFC Vermont,-37.8364723,145.1843908,FOREST HILL
KFC Dandenong South,-38.01223969999999,145.1982605,DANDENONG SOUTH
KFC Lynbrook,-38.0426094,145.2514172,LYNBROOK
KFC Parkmore,-37.9925415,145.1731144,KEYSBOROUGH
KFC Chelsea Heights,-38.0290858,145.1310311,CHELSEA HEIGHTS
KFC Nunawading,-37.8188705,145.1762827,NUNAWADING
KFC Laverton,-37.8718139,144.7765351,ALTONA MEADOWS
KFC Keilor Downs,-37.7283959,144.8081376,KEILOR DOWNS
KFC Sydenham,-37.6967103,144.7809611,TAYLORS LAKES
KFC Point Cook,-37.8842734,144.7333173,POINT COOK
KFC Hoppers Crossing 2,-37.8694218,144.7315257,HOPPERS CROSSING
KFC Truganina,-37.8381877,144.728372,TRUGANINA
KFC Tarneit North,-37.8200818,144.6927945,TARNEIT
KFC Maltby Bypass,-37.9264939,144.6318079,WERRIBEE
KFC Brimbank,-37.7522677,144.7774678,DEER PARK
KFC Wantirna,-37.8480226,145.2276943,WANTIRNA
KFC Doncaster,-37.7869993,145.141988,DONCASTER
KFC Ashburton,-37.8661537,145.0921994,ASHBURTON
KFC Ringwood,-37.8040399,145.2450314,RINGWOOD
KFC Reservoir,-37.7128772,145.0077485,RESERVOIR
KFC Deer Park,-37.7620013,144.7556306,BURNSIDE
KFC Caroline Springs,-37.7317482,144.7433908,CAROLINE SPRINGS
KFC Taylors Hill,-37.7107675,144.7409763,TAYLORS HILL
KFC Watergardens,-37.6994192,144.7760345,TAYLORS LAKES
KFC Wyndham Vale,-37.8922249,144.6307483,WYNDHAM VALE
KFC Calder Inbound,-37.6653843,144.7540144,KEILOR NORTH
KFC Manor Lakes,-37.8738776,144.6130688,WYNDHAM VALE
KFC Campbellfield,-37.666835,144.9531664,CAMPBELLFIELD
KFC Calder Outbound,-37.6646461,144.7473754,CALDER PARK
KFC Tullamarine,-37.70048999999999,144.880317,TULLAMARINE
KFC Tarneit,-37.84788229999999,144.6890328,TARNEIT
KFC Knox City Food Court,-37.8689993,145.2413047,WANTIRNA SOUTH
KFC Chadstone Mall,-37.8851765,145.083838,MALVERN EAST
KFC Werribee,-37.902406,144.6598433,WERRIBEE
KFC Hoppers Crossing,-37.8753008,144.6826474,HOPPERS CROSSING
KFC Werribee Plaza,-37.8753721,144.6811897,HOPPERS CROSSING
KFC Riverdale,-37.8331418,144.6522248,TARNEIT
KFC Bacchus Marsh,-37.6742699,144.4364875,BACCHUS MARSH
KFC Melton South,-37.72206740000001,144.5726398,WEIR VIEWS
KFC Melton Phoenix,-37.68785039999999,144.5661028,MELTON WEST
KFC Melton Service Centre,-37.6837708,144.6066453,MELTON
KFC Corio,-38.0834693,144.35996,CORIO
KFC Woodgrove,-37.6857886,144.56303,MELTON WEST
KFC Southland Mall,-37.9578723,145.0532457,CHELTENHAM
KFC Balwyn,-37.813374,145.084202,BALWYN
KFC Northland Mall,-37.7393583,145.0307486,PRESTON
KFC Ferntree Gully,-37.8882684,145.2907289,FERNTREE GULLY
KFC Mentone,-37.9830072,145.0757347,MENTONE
KFC Broadmeadows,-37.6759558,144.9223956,BROADMEADOWS
KFC Fawkner,-37.7007869,144.9594525,FAWKNER
KFC Preston,-37.7469656,145.0213485,PRESTON
KFC Carrum Downs,-38.1002249,145.1728231,CARRUM DOWNS
KFC Endeavour Hills,-37.9757663,145.2596559,ENDEAVOUR HILLS
