council,Individuals 2021-22,Median taxable income 2021-22,Average taxable income 2021-22,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR,KFC Count,McDonald's Count,Hungry Jack's Count,Total Fast Food Count
Ballarat,27916.0,49733.0,63252.0,33.8,69.4,5,5,3,13
Banyule,11897.0,60193.0,84541.0,22.9,61.5,2,3,1,6
Bass Coast,3531.0,41578.0,53856.0,31.0,66.9,1,1,0,2
Baw Baw,3563.0,47317.0,59310.0,32.7,67.8,3,3,0,6
Bayside,13873.0,65945.0,119896.0,17.7,56.0,1,1,0,2
Boroondara,12735.0,61769.0,120700.0,14.5,53.1,3,3,0,6
Brimbank,21560.0,52752.0,62483.0,27.4,64.9,11,11,9,31
Campaspe,3866.0,46010.0,56706.0,33.0,68.4,1,1,0,2
Cardinia,7970.0,52129.0,66642.0,32.4,71.2,5,7,2,14
Casey,20948.0,50386.0,61362.0,32.2,70.5,12,10,5,27
Central Goldfields,1252.0,43543.0,54640.0,36.1,71.3,0,0,0,0
Colac Otway,2615.0,46866.0,56806.0,31.3,66.8,1,1,0,2
Corangamite,6445.0,49313.0,60251.0,33.3,69.9,0,0,0,0
Darebin,20716.0,56007.0,69336.0,23.9,61.9,8,5,2,15
East Gippsland,4165.0,43241.0,52421.0,33.9,69.4,2,2,1,5
Frankston,41307.0,52059.0,60840.0,30.8,68.8,9,13,4,26
Gannawarra,3741.0,45490.0,53802.0,32.4,68.1,1,1,0,2
Glen Eira,16153.0,62217.0,97325.0,18.6,56.9,4,5,2,11
Glenelg,3239.0,47880.0,64518.0,32.5,69.0,1,1,0,2
Golden Plains,3289.0,53673.0,70053.0,35.4,71.9,1,2,0,3
Greater Bendigo,12109.0,47481.0,61387.0,34.2,69.6,5,4,2,11
Greater Dandenong,17932.0,46798.0,53434.0,26.3,63.2,7,6,2,15
Greater Geelong,11926.0,51950.0,75030.0,29.2,64.6,8,12,3,23
Greater Shepparton,4933.0,46380.0,56257.0,34.4,68.8,4,4,1,9
Hepburn,2111.0,44153.0,55939.0,33.3,69.3,0,0,0,0
Hindmarsh,956.0,47655.0,61539.0,33.0,69.7,0,0,0,0
Hobsons Bay,9168.0,67328.0,87300.0,24.9,63.6,1,1,1,3
Horsham,6252.0,49067.0,59467.0,32.2,66.7,1,1,1,3
Hume,7923.0,47870.0,61062.0,33.3,71.1,7,8,6,21
Kingston,13433.0,57985.0,74018.0,24.8,63.3,4,5,2,11
Knox,12401.0,51511.0,66285.0,24.5,62.9,6,6,3,15
Latrobe,5400.0,46876.0,58892.0,33.8,68.9,1,1,0,2
Loddon,1647.0,42797.0,50390.0,34.8,70.3,1,1,0,2
Macedon Ranges,5043.0,48268.0,67720.0,29.6,67.9,7,6,1,14
Manningham,15816.0,50620.0,70998.0,19.1,57.4,5,6,2,13
Mansfield,1277.0,42478.0,52646.0,33.9,69.1,0,0,0,0
Maribyrnong,13742.0,57414.0,73240.0,21.9,60.0,4,3,1,8
Maroondah,15145.0,54714.0,72071.0,26.3,64.6,2,3,2,7
Melbourne,12831.0,59585.0,96303.0,15.3,48.8,9,11,7,27
Melton,23065.0,54307.0,65620.0,35.6,74.3,10,8,6,24
Mildura,4309.0,44620.0,50437.0,35.6,70.0,2,2,1,5
Mitchell,3438.0,49958.0,64440.0,33.6,70.3,0,0,0,0
Moira,2836.0,46013.0,56616.0,34.6,70.2,2,1,0,3
Monash,16963.0,50320.0,68363.0,19.7,57.1,4,8,3,15
Moonee Valley,11357.0,63518.0,89588.0,24.4,63.0,3,3,1,7
Moorabool,3573.0,57001.0,77514.0,35.1,73.0,0,1,0,1
Moreland,12552.0,60738.0,81709.0,24.2,62.4,0,5,1,6
Mornington Peninsula,4476.0,50014.0,90293.0,27.4,65.5,3,3,1,7
Mount Alexander,11509.0,47837.0,57971.0,32.1,67.8,2,1,0,3
Moyne,3004.0,48151.0,59783.0,34.3,71.8,1,2,1,4
Murrindindi,2843.0,44163.0,57107.0,32.7,69.8,1,2,0,3
Nillumbik,6023.0,54302.0,76846.0,22.8,62.1,2,5,1,8
Northern Grampians,3417.0,49244.0,60372.0,33.5,68.8,2,2,1,5
Port Phillip,12104.0,67937.0,108032.0,17.4,54.4,3,6,1,10
South Gippsland,2358.0,43010.0,56007.0,31.2,67.4,0,0,0,0
Southern Grampians,929.0,47099.0,61159.0,33.5,68.8,1,1,1,3
Stonnington,9898.0,73200.0,160392.0,15.5,53.3,1,0,0,1
Strathbogie,3962.0,46877.0,57028.0,35.1,70.7,1,0,0,1
Surf Coast,4207.0,52783.0,78761.0,27.3,63.6,0,1,0,1
Swan Hill,1846.0,43090.0,51306.0,33.0,68.0,0,0,0,0
Towong,1331.0,45672.0,55270.0,32.9,69.2,0,0,0,0
Wangaratta,2843.0,47355.0,56878.0,32.6,67.7,1,1,1,3
Warrnambool,1016.0,49928.0,61479.0,32.5,68.1,0,0,0,0
Wellington,6046.0,44786.0,57912.0,34.8,70.0,2,3,3,8
West Wimmera,1232.0,46541.0,57494.0,33.0,69.7,0,0,0,0
Whitehorse,13826.0,49486.0,71668.0,19.5,57.3,1,2,1,4
Whittlesea,30388.0,50017.0,57592.0,30.8,69.4,11,11,7,29
Wodonga,16608.0,53046.0,60613.0,34.8,70.0,0,0,0,0
Wyndham,39774.0,52876.0,62162.0,31.5,70.3,5,5,2,12
Yarra,15256.0,71275.0,96378.0,16.3,53.7,2,3,1,6
Yarra Ranges,3662.0,50360.0,66011.0,27.1,65.6,3,4,2,9
Yarriambiack,867.0,42317.0,54734.0,33.0,69.7,1,0,0,1
