Name,Latitude,Longitude
Hungry Jack's Burgers La Trobe,-37.8100793,144.961509
Hungry Jack's Burgers Swanston Street,-37.8139529,144.9655486
Hungry Jack's Burgers Elizabeth Street,-37.8176767,144.9645396
Hungry Jack's Burgers Hoddle Street,-37.8116315,144.9913167
Hungry Jack's Burgers Flemington,-37.7922251,144.9183862
Hungry Jack's Burgers South Yarra,-37.8454675,144.9854011
Hungry Jack's Burgers Southern Cross,-37.8188012,144.9537619
Hungry Jack's Burgers Spencer Street,-37.8167943,144.9528063
Hungry Jack's Burgers Kingsway,-37.8289455,144.9639508
Hungry Jack's Burgers Westgate,-37.8298195,144.9171835
Hungry Jack's Burgers Bell Street,-37.7478767,145.0222525
Hungry Jack's Burgers Pascoe Vale,-37.7392232,144.9492074
Hungry Jack's Burgers Bulleen,-37.7619949,145.0838724
Hungry Jack's Burgers Highpoint,-37.77423599999999,144.886263
Hungry Jack's Burgers Moorabbin,-37.9299856,145.0321754
Hungry Jack's Burgers Jacana,-37.6927709,144.9151574
Hungry Jack's Burgers Burwood (VIC),-37.8491667,145.1094444
Hungry Jack's Burgers Oakleigh,-37.8937375,145.0910621
Hungry Jack's Burgers Tullamarine,-37.6840752,144.8824138
Hungry Jack's Burgers Fawkner,-37.6888205,144.9573469
Hungry Jack's Burgers Altona North,-37.8317121,144.8485103
Hungry Jack's Burgers Thomastown,-37.6847595,145.0286208
Hungry Jack's Burgers Keilor Park Drive,-37.7234578,144.8496898
Hungry Jack's Burgers Footscray,-37.8109951,144.8708063
Hungry Jack's Burgers Keilor Downs,-37.7284373,144.8086263
Hungry Jack's Burgers Notting Hill,-37.8986007,145.1238688
Hungry Jack's Burgers Mt Waverley,-37.8600165,145.1501739
Hungry Jack's Burgers North Ringwood,-37.8109301,145.2390754
Hungry Jack's Burgers Scoresby,-37.899496,145.2342232
Hungry Jack's Burgers Rowville,-37.9271738,145.2339674
Hungry Jack's Burgers Knox City,-37.8704638,145.2421157
Hungry Jack's Burgers Forest Hill,-37.8339893,145.1633094
Hungry Jack's Burgers Chadstone,-37.88503,145.0834347
Hungry Jack's Burgers Dandenong,-37.9853758,145.2211663
Hungry Jack's Burgers Springvale,-37.9348655,145.1559433
Hungry Jack's Burgers Eltham,-37.7170372,145.1375458
Hungry Jack's Burgers Parkmore,-37.9940706,145.1750911
Hungry Jack's Burgers Heatherton,-37.9503348,145.0783334
Hungry Jack's,-37.6689101,144.8500938
Hungry Jack's Burgers Deer Park,-37.7513792,144.7775115
Hungry Jack's,-37.6689619,144.8472483
Hungry Jack's Burgers Sunshine,-37.7787329,144.8408553
Hungry Jack's Burgers Wollert,-37.6210749,145.0049236
Hungry Jack's Burgers Taylors Hill,-37.7104771,144.7410546
Hungry Jack's Burgers Roxburgh Park,-37.641329,144.931748
Hungry Jack's Burgers Ardeer,-37.7963902,144.7900533
Hungry Jack's Burgers Caroline Springs,-37.7555804,144.7404414
Hungry Jack's Burgers Mentone,-37.98328679999999,145.0758594
Hungry Jack's Burgers Hallam,-38.0056563,145.2730285
Hungry Jack's Burgers Croydon,-37.8243197,145.2881725
Hungry Jack's Burgers Mill Park,-37.6558494,145.0791024
Hungry Jack's Burgers Fountain Gate Food Court,-38.0166809,145.3031604
Hungry Jack's Burgers Berwick,-38.0549474,145.3387584
Hungry Jack's Burgers Beaconsfield,-38.0550295,145.3849397
Hungry Jack's Burgers Altona Meadows,-37.8720369,144.7771185
Hungry Jack's Burgers Frankston South,-38.1838505,145.1411237
Hungry Jack's Burgers Bundoora,-37.6901106,145.063955
Hungry Jack's Burgers Chirnside Park,-37.7607794,145.3119042
Hungry Jack's Burgers Epping,-37.6523534,145.0226654
Hungry Jack's Burgers Mooroolbark,-37.7900054,145.3095142
Hungry Jack's Burgers Mernda,-37.6026181,145.0944111
Hungry Jack's Burgers Craigieburn,-37.593051,144.907819
Hungry Jack's Burgers Bunker Hill,-37.5412133,144.9438571
Hungry Jack's Burgers Clyde North,-38.0936816,145.3326242
Hungry Jack's Burgers Carrum Downs,-38.1013013,145.182819
Hungry Jack's Burgers Geelong,-38.1005549,144.3544091
Hungry Jack's Burgers Watergardens,-37.6960346,144.781207
Hungry Jack's Burgers Mornington,-38.2285105,145.045439
Hungry Jack's Burgers Karingal Hub,-38.1538835,145.1628602
Hungry Jack's Burgers Cranbourne North,-38.0849446,145.2784338
Hungry Jack's Burgers Bulla,-37.6371288,144.8056577
Hungry Jack's Burgers Kalkallo,-37.525254,144.9487922
Hungry Jack's Burgers Sunbury,-37.5810011,144.7243974
Hungry Jack's Burgers Melton West,-37.6847999,144.5675512
Hungry Jack's Burgers Truganina,-37.84007709999999,144.7486222
Hungry Jack's Burgers Kangaroo Flats,-36.80972390000001,144.2410373
Hungry Jack's Burgers Pakenham,-38.07111190000001,145.4799947
Hungry Jack's Burgers Little River Melbourne Bound,-38.00148770000001,144.4917238
Hungry Jack's Burgers Little River Geelong Bound,-38.0027689,144.4920757
Hungry Jack's Burgers Newcomb,-38.16923810000001,144.3876434
Hungry Jack's Burgers Waurn Ponds,-38.1990414,144.3156207
Hungry Jack's Burgers Armstrong Creek,-38.2244907,144.3372739
