Unnamed,postcode,suburb,state,lng,lat,individuals 2003-04 no.,median3 taxable income 2003-04$,average3 taxable income 2003-04$,individuals 2013-14 no.,median3 taxable income 2013-14$,average3 taxable income 2013-14$,individuals 2014-15 no.,median3 taxable income 2014–15$,average3 taxable income 2014-15$,individuals 2015-16 no.,median3 taxable income 2015-16$,average3 taxable income 2015-16$,individuals 2016-17no.,median3 taxable income 2016-17$,average3 taxable income 2016-17$,individuals 2017-18no.,median3 taxable income 2017-18$,average3 taxable income 2017–18$,individuals 2018-19no.,median3 taxable income 2018-19$,average3 taxable income 2018-19$,individuals 2019-20no.,median3 taxable income 2019-20$,average3 taxable income 2019-20$,individuals 2020-21no.,median3 taxable income 2020-21$,average3 taxable  ncome 2020-21$,individuals 2021–22no.,median3 taxable income 2021-22$,average3 taxable income 2021-22$
0,3000,MELBOURNE,VIC,144.9825846,-37.81443733,7388,26649,43854,18163,30160,52829,20561,28654,50108,21585,29300,52515,23297,29196,51761,24559,29198,59625,25566,30003,52766,26122,30216,53481,30800,34662,54967,33602,37724,57740
1,3002,EAST MELBOURNE,VIC,144.9825846,-37.81443733,3070,39872,66728,3586,59384,112768,3530,61008,114843,3586,64297,119280,3636,64936,130048,3709,67044,185437,3810,70537,135387,3799,72705,143099,3538,74187,142604,3550,78080,175522
2,3003,WEST MELBOURNE,VIC,144.949592,-37.810871,1690,31524,40221,2947,44297,57488,3227,44615,58095,3571,44228,59999,3941,43618,59351,4520,45844,61479,5039,46169,62345,5538,48119,64092,5743,49616,67076,6005,52489,70007
3,3004,MELBOURNE,VIC,144.9825846,-37.81443733,4090,36787,67390,6869,53004,92513,7084,53768,86624,6941,56433,87809,7360,56087,88947,8178,56465,119389,8596,57629,83531,8710,58744,88749,8669,60877,92235,8882,63691,96605
4,3004,ST KILDA ROAD CENTRAL,VIC,144.970161,-37.844246,4090,36787,67390,6869,53004,92513,7084,53768,86624,6941,56433,87809,7360,56087,88947,8178,56465,119389,8596,57629,83531,8710,58744,88749,8669,60877,92235,8882,63691,96605
5,3004,ST KILDA ROAD MELBOURNE,VIC,144.976,-37.8368,4090,36787,67390,6869,53004,92513,7084,53768,86624,6941,56433,87809,7360,56087,88947,8178,56465,119389,8596,57629,83531,8710,58744,88749,8669,60877,92235,8882,63691,96605
6,3006,SOUTH WHARF,VIC,144.9520744,-37.82528675,3947,34711,47190,10470,49748,68055,11375,49880,71389,12289,50067,70515,12721,48768,69895,13887,48515,68855,15055,50869,70688,16466,50125,68827,17497,51938,70851,18268,56352,76236
7,3006,SOUTHBANK,VIC,144.965926,-37.823258,3947,34711,47190,10470,49748,68055,11375,49880,71389,12289,50067,70515,12721,48768,69895,13887,48515,68855,15055,50869,70688,16466,50125,68827,17497,51938,70851,18268,56352,76236
8,3008,DOCKLANDS,VIC,144.948039,-37.814719,1510,38839,53060,6016,49842,68430,6576,51089,72583,7164,51155,70764,8645,48937,65743,10062,50912,66581,10791,52419,68227,10809,55010,72250,11248,55925,74203,11473,59023,81098
9,3011,FOOTSCRAY,VIC,144.907953,-37.807101,9291,26793,30908,11662,41236,49377,12275,41605,50543,12923,43162,52051,13713,44932,53981,14557,46754,56672,14951,48982,58959,14989,51132,62174,15484,51744,63889,16575,54151,66186
10,3011,SEDDON,VIC,144.907953,-37.807101,9291,26793,30908,11662,41236,49377,12275,41605,50543,12923,43162,52051,13713,44932,53981,14557,46754,56672,14951,48982,58959,14989,51132,62174,15484,51744,63889,16575,54151,66186
11,3011,SEDDON WEST,VIC,144.907953,-37.807101,9291,26793,30908,11662,41236,49377,12275,41605,50543,12923,43162,52051,13713,44932,53981,14557,46754,56672,14951,48982,58959,14989,51132,62174,15484,51744,63889,16575,54151,66186
12,3012,BROOKLYN,VIC,144.861162,-37.807135,10590,28757,31234,13724,43551,50989,14334,44669,52091,15009,45489,53426,15738,47285,55200,16466,48628,57534,17125,50580,60122,17157,52309,62099,16684,56018,67668,17223,59588,71176
13,3012,KINGSVILLE,VIC,144.861162,-37.807135,10590,28757,31234,13724,43551,50989,14334,44669,52091,15009,45489,53426,15738,47285,55200,16466,48628,57534,17125,50580,60122,17157,52309,62099,16684,56018,67668,17223,59588,71176
14,3012,KINGSVILLE WEST,VIC,144.861162,-37.807135,10590,28757,31234,13724,43551,50989,14334,44669,52091,15009,45489,53426,15738,47285,55200,16466,48628,57534,17125,50580,60122,17157,52309,62099,16684,56018,67668,17223,59588,71176
15,3012,MAIDSTONE,VIC,144.861162,-37.807135,10590,28757,31234,13724,43551,50989,14334,44669,52091,15009,45489,53426,15738,47285,55200,16466,48628,57534,17125,50580,60122,17157,52309,62099,16684,56018,67668,17223,59588,71176
16,3012,TOTTENHAM,VIC,144.861162,-37.807135,10590,28757,31234,13724,43551,50989,14334,44669,52091,15009,45489,53426,15738,47285,55200,16466,48628,57534,17125,50580,60122,17157,52309,62099,16684,56018,67668,17223,59588,71176
