Name,Latitude,Longitude
KFC Carlton,-37.8006094,144.9636508
KFC Freshwater Place,-37.8216843,144.9627613
KFC 401 Swanston Street,-37.8090187,144.9632364
KFC Crown Casino Melbourne,-37.8251686,144.9586944
KFC Bourke Street Melbourne,-37.8131983,144.967495
KFC Spencer St,-37.8175107,144.9531066
KFC Collins St,-37.8187781,144.9544249
KFC Flemington,-37.7882281,144.9330834
KFC Thornbury,-37.758523,144.9929394
KFC Waterfront City Docklands,-37.8123577,144.9373944
KFC Elizabeth Street Melbourne,-37.8173256,144.9648377
KFC Melbourne Central Food Court,-37.810559,144.9627448
KFC Burnley,-37.8263213,145.0020931
KFC Prahran,-37.8459254,144.994188
KFC East Brighton,-37.9003712,145.0077312
KFC Victoria Gardens Food Court,-37.8130598,145.0116048
KFC Eastlink Southbound,-37.9134377,145.21729
KFC Glen Waverley,-37.9030766,145.1603991
KFC Eastlink Northbound,-37.912832,145.2137271
KFC Vermont,-37.8364723,145.1843908
KFC Glen Waverley Central,-37.8805373,145.1640533
KFC Rowville,-37.9184144,145.2354435
KFC Burwood East,-37.8511153,145.1429873
KFC Noble Park,-37.9587656,145.18461
KFC Wantirna,-37.8480226,145.2276943
KFC Balwyn,-37.813374,145.084202
KFC Springvale,-37.933632,145.157899
KFC Clayton,-37.9292544,145.1228248
KFC Knox City (Outside),-37.8699516,145.242281
KFC Ferntree Gully,-37.8882684,145.2907289
KFC Oakleigh,-37.89272260000001,145.0891321
KFC Ringwood,-37.8040399,145.2450314
KFC Nunawading,-37.8188705,145.1762827
KFC Ashburton,-37.8661537,145.0921994
KFC Dandenong Market,-37.9844627,145.2132208
KFC Keysborough,-37.9916018,145.1469164
KFC Caulfield,-37.8766435,145.0422888
KFC Footscray,-37.7985073,144.8899719
KFC Moonee Ponds,-37.7660229,144.9238708
KFC Ormond,-37.904669,145.0436328
KFC Altona North,-37.8320007,144.847625
KFC Tarneit North,-37.8200818,144.6927945
KFC Doncaster,-37.7869993,145.141988
KFC Bayswater,-37.82496039999999,145.2882158
KFC Highett,-37.9462866,145.0446679
KFC Cranbourne North,-38.0836074,145.2826743
KFC Preston,-37.7469656,145.0213485
KFC Northland Mall,-37.7393583,145.0307486
KFC Chelsea Heights,-38.0290858,145.1310311
KFC Yarraville,-37.82454,144.8815329
KFC St Kilda,-37.86687810000001,144.9783258
KFC Niddrie,-37.7419884,144.9036336
KFC Kew,-37.8042357,145.037313
KFC Hawthorn,-37.8219084,145.0356216
KFC Sunshine Market Place,-37.7821433,144.8314131
KFC Coburg,-37.7411159,144.9628222
KFC Berwick South,-38.0566884,145.3382577
KFC The Glen,-37.8761208,145.1662699
KFC Dandenong South,-38.01223969999999,145.1982605
KFC Mill Park,-37.6562744,145.0788432
KFC Mentone,-37.9830072,145.0757347
KFC Narre Warren,-38.0265123,145.3107675
KFC Carrum Downs,-38.1002249,145.1728231
