Name,Latitude,Longitude,Suburb
McDonald's Glen Waverley,-37.8748605,145.1671657,GLEN WAVERLEY
McDonald's,-37.8863166,145.1451686,MOUNT WAVERLEY
McDonald's Swanston St,-37.8118102,144.9645289,MELBOURNE
McDonald's,-37.8073573,144.9595815,MELBOURNE
McDonald's,-37.9179229,145.1583523,MULGRAVE
McDonald's South Melbourne,-37.8280273,144.9580272,SOUTHBANK
McDonald's Dandenong,-37.9903168,145.1993469,DANDENONG
McDonald's,-37.9123203,145.2134715,SCORESBY
McDonald's,-37.913707,145.1250239,CLAYTON
McDonald's Vermont South,-37.8558927,145.1809091,VERMONT SOUTH
McDonald's Bourke St.,-37.8125163,144.9681917,MELBOURNE
McDonald's,-37.8178058,144.9645633,MELBOURNE
McDonald's,-37.8187235,144.9542788,MELBOURNE
McDonald's,-37.91814189999999,145.2356673,ROWVILLE
McDonald's,-37.8982873,145.242549,KNOXFIELD
McDonald's Noble Park,-37.96110729999999,145.1886148,NOBLE PARK NORTH
McDonald's Burwood,-37.8508833,145.0977562,BURWOOD
McDonald's Elsternwick,-37.8843875,144.9980817,ELSTERNWICK
McDonald's,-37.8084113,144.9830169,COLLINGWOOD
McDonald's,-37.8080942,144.9920052,ABBOTSFORD
McDonald's,-37.8099974,144.9628724,MELBOURNE
McDonald's,-37.81053500000001,144.962358,MELBOURNE
McDonald's,-37.8361518,144.9760835,MELBOURNE
McDonald's,-37.761497,144.9738514,BRUNSWICK EAST
McDonald's,-37.8457452,144.9945493,SOUTH YARRA
McDonald's Clifton Hill,-37.78718600000001,144.9935631,FITZROY NORTH
McDonald's Malvern East,-37.8760295,145.0478478,MALVERN EAST
McDonald's,-37.8214104,144.9621472,SOUTHBANK
McDonald's Richmond,-37.8179171,144.9996407,RICHMOND
McDonald's Prahran,-37.8481592,145.0025271,PRAHRAN
McDonald's,-37.825191,144.958913,SOUTHBANK
McDonald's Footscray,-37.7911044,144.8903268,FOOTSCRAY
McDonald's,-37.7755043,144.9609324,BRUNSWICK
McDonald's St Kilda,-37.8668106,144.9776245,ST KILDA
McDonald's,-37.7422387,144.9040399,ESSENDON NORTH
McDonald's,-37.7940494,144.9494954,NORTH MELBOURNE
McDonald's Yarraville,-37.812576,144.884128,YARRAVILLE
McDonald's Western Ring Road East,-37.8054536,144.8092419,SUNSHINE WEST
McDonald's Sunshine,-37.7782872,144.8432043,SUNSHINE NORTH
McDonald's Altona North,-37.8314051,144.84768,ALTONA NORTH
McDonald's Avondale Heights,-37.7666026,144.8634109,AVONDALE HEIGHTS
McDonald's Flemington,-37.7881442,144.932183,FLEMINGTON
McDonald's Little Boundary Rd,-37.8228611,144.8244555,LAVERTON NORTH
McDonald's Delahey,-37.726856,144.7814638,DELAHEY
McDonald's Hoppers Crossing,-37.8799563,144.7015746,HOPPERS CROSSING
McDonald's Laverton,-37.8697879,144.7610995,LAVERTON
McDonald's Taylors Lakes,-37.702447,144.8024119,KEILOR
McDonald's Laverton North,-37.8435819,144.7814752,LAVERTON NORTH
McDonald's Caroline Springs,-37.7295755,144.7413378,CAROLINE SPRINGS
McDonald's Point Cook,-37.8847522,144.7368859,POINT COOK
McDonald's Werribee,-37.9030232,144.6617362,WERRIBEE
McDonald's,-37.9131827,145.2172064,SCORESBY
McDonald's Box Hill North,-37.8095502,145.1408642,BLACKBURN
McDonald's,-37.7886256,145.161631,DONCASTER EAST
McDonald's Preston II,-37.7451881,144.9967807,PRESTON
McDonald's Forest Hill,-37.8354962,145.165948,FOREST HILL
McDonald's Derrimut Village,-37.7831802,144.7723525,DERRIMUT
McDonald's Deer Park,-37.76168690000001,144.755147,BURNSIDE
McDonald's St Albans,-37.746734,144.802321,ST ALBANS
McDonald's Hogans Corner,-37.8612475,144.6867773,HOPPERS CROSSING
McDonald's Sydenham,-37.6937716,144.7550943,HILLSIDE
McDonald's Keilor Park,-37.7185426,144.8528329,KEILOR PARK
McDonald's Calder Northbound,-37.6648186,144.747969,CALDER PARK
McDonald's,-37.66526169999999,144.753831,KEILOR NORTH
McDonald's,-37.961785,145.1510651,SPRINGVALE SOUTH
McDonald's Clayton South,-37.946223,145.1398453,SPRINGVALE
McDonald's,-37.8801014,145.2678539,FERNTREE GULLY
McDonald's Ringwood,-37.8167827,145.2200306,RINGWOOD
McDonald's Riverdale Village,-37.8342731,144.6528654,TARNEIT
McDonald's Tarneit,-37.8352451,144.6902905,TARNEIT
McDonald's Watergardens,-37.6991072,144.7763088,TAYLORS LAKES
McDonald's Tullamarine,-37.6882337,144.881837,WESTMEADOWS
McDonald's,-37.9706262,145.2228134,DANDENONG NORTH
McDonald's,-37.9080445,145.0752943,HUGHESDALE
McDonald's Ormond,-37.905116,145.044329,ORMOND
McDonald's,-37.831175,145.270697,BAYSWATER NORTH
McDonald's Western Fairway,-37.7067116,144.6292639,THORNHILL PARK
McDonald's Wyndham Waters,-37.8534332,144.7321786,WILLIAMS LANDING
McDonald's,-37.8758141,145.091113,MALVERN EAST
McDonald's Nunawading,-37.8179069,145.1766498,NUNAWADING
McDonald's,-37.9727755,145.1124267,DINGLEY VILLAGE
McDonald's Chadstone,-37.8862106,145.0779249,MALVERN EAST
McDonald's Manor Lakes,-37.8760293,144.615446,WYNDHAM VALE
McDonald's,-37.9263141,144.6312322,WERRIBEE
McDonald's,-37.6738527,144.4357354,BACCHUS MARSH
McDonald's Melton West,-37.687872,144.5667611,MELTON WEST
McDonald's Werribee Plaza,-37.8751797,144.6813643,HOPPERS CROSSING
McDonald's,-37.6892352,144.6046857,MELTON
