Council,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Unincorporated,ACT,24.2,"69,785",63.5,"183,811",4.6,"3,533",24,"18,027",
Albury,NSW,36.2,"13,972",69.7,"26,773",7.4,815,23.1,"2,573",
Armidale Dumaresq,NSW,32.8,"5,777",65.6,"11,471",7.2,371,22.2,"1,173",
Ashfield,NSW,19.8,"6,636",55.5,"19,012",6.4,438,24.6,"1,636",
Auburn,NSW,22.5,"13,712",58.1,"36,165",12.1,"2,116",31.2,"5,277",
Ballina,NSW,30.6,"10,516",64.3,"21,703",6.1,511,21.4,"1,844",
Balranald,NSW,39.2,723,73.9,"1,341",9.8,49,28,143,
Bankstown,NSW,27.5,"40,185",63.5,"93,271",10.1,"4,590",27.3,"12,361",
Bathurst Regional,NSW,36.7,"10,954",70.7,"20,944",7.9,729,23,"2,167",
Bega Valley,NSW,31.3,"8,883",65.1,"17,990",6.8,437,21.7,"1,432",
Bellingen,NSW,35.6,"3,726",69.2,"7,084",7.3,208,22.1,646,
Berrigan,NSW,36.7,"2,532",70.9,"4,813",6.9,109,23.7,381,
Blacktown,NSW,30.6,"72,705",67.1,"160,354",10,"8,052",27.8,"22,289",
Bland,NSW,40,"1,889",74.7,"3,479",7.9,106,25.1,343,
Blayney,NSW,42.6,"2,314",75.3,"4,033",8.3,154,23.7,451,
Blue Mountains,NSW,26.2,"16,678",63.5,"39,715",6.4,"1,025",22.2,"3,615",
Bogan,NSW,42.2,951,76.8,"1,720",8.5,59,25.6,175,
Bombala ,NSW,37.6,731,72.9,"1,390",6.7,31,25.3,121,
Boorowa,NSW,36.3,701,70.2,"1,330",7.5,44,23.4,141,
Botany Bay,NSW,25.8,"9,077",62,"22,174",7.8,646,25.8,"2,092",
Bourke,NSW,,,,,,,,,
Brewarrina,NSW,,,,,,,,,
Broken Hill,NSW,37.2,"5,464",70,"10,174",10.5,397,27.9,"1,081",
Burwood,NSW,19.4,"5,349",54.7,"15,347",6.5,377,23.7,"1,371",
Byron,NSW,27.3,"7,118",60.7,"15,503",6.2,411,21.2,"1,413",
Cabonne,NSW,38.6,"3,954",73,"7,407",7.7,265,24.3,843,
Camden,NSW,33.8,"17,050",71.2,"36,093",7.8,"1,402",23.7,"4,223",
Campbelltown,NSW,33.4,"38,837",70,"81,217",9.8,"3,420",27.1,"9,497",
Canada Bay,NSW,20.6,"14,170",57,"39,780",5.5,826,22.4,"3,234",
Canterbury,NSW,24.8,"28,034",60.2,"68,666",9.5,"2,901",28,"8,343",
Carrathool,NSW,42.1,841,77.2,"1,522",8,53,25.1,169,
Central Darling ,NSW,37.2,590,70,"1,098",10.5,43,27.9,117,
Cessnock,NSW,40.2,"16,405",73.6,"29,789",9.7,"1,246",26,"3,351",
Clarence Valley,NSW,38.7,"16,030",72.2,"29,232",8.3,866,23.1,"2,477",
Cobar,NSW,42.2,"1,549",76.8,"2,801",8.5,97,25.6,285,
Coffs Harbour,NSW,34.5,"19,688",67.9,"38,118",7.5,"1,162",22.1,"3,503",
Conargo,NSW,37.7,505,72.4,950,9.2,29,25.1,80,
Coolamon,NSW,40.7,"1,262",75.6,"2,299",8,79,24.3,245,
Cooma-Monaro,NSW,32.8,"2,571",66.7,"5,144",6.8,147,24.5,531,
Coonamble,NSW,42.2,"1,324",76.8,"2,394",8.5,83,25.6,244,
Cootamundra,NSW,40.5,"2,374",74.4,"4,287",8.1,135,25.6,435,
Corowa Shire,NSW,36.7,"3,454",70.9,"6,566",6.9,148,23.7,520,
Corwa,NSW,36.2,"3,551",69,"6,684",8.3,220,24.9,681,
Deniliquin,NSW,33.5,"1,947",67.6,"3,894",7.9,119,25.9,389,
Dubbo,NSW,39.7,"11,816",72.4,"21,453",8.2,828,23.9,"2,429",
Dungog,NSW,38.3,"2,851",72.6,"5,305",7.1,135,23.1,450,
Eurobodalla,NSW,31.3,"10,128",64.5,"20,360",7.5,529,21.7,"1,569",
Fairfield,NSW,25.9,"39,617",60.7,"92,825",11.1,"4,814",30.1,"13,137",
Forbes,NSW,42.5,"3,098",77,"5,570",8.2,178,25.1,543,
Gilgandra,NSW,40.9,"1,410",74.4,"2,521",8.5,86,25.3,260,
Glen Innes Severn,NSW,40.5,"2,985",73.2,"5,266",8.6,149,25.4,447,
Gloucester,NSW,38.7,"1,771",72.5,"3,219",7.6,75,22.2,225,
Gosford,NSW,29.4,"40,079",66,"89,518",7.1,"2,402",22.6,"7,758",
Goulburn Mulwaree,NSW,37.6,"8,326",71.3,"15,607",8,497,23.3,"1,469",
Great Lakes,NSW,35.9,"11,454",69.3,"21,648",8,494,22.5,"1,429",
Greater Hume Shire,NSW,34.4,"2,735",69,"5,405",6.3,140,22.2,513,
Greater Taree,NSW,37.8,"14,999",70.7,"27,520",8.4,865,23.6,"2,487",
Griffith,NSW,38.1,"7,204",71.5,"13,484",8.1,497,25.7,"1,585",
Gundagai,NSW,40.5,"1,186",74.4,"2,141",8.1,67,25.6,217,
Gunnedah,NSW,39.4,"3,743",72.4,"6,837",9.1,274,25.2,763,
Guyra,NSW,37.3,"1,335",72.5,"2,550",7.1,71,22.9,230,
Gwydir,NSW,40.4,"1,660",74.8,"3,016",8.5,88,26.1,267,
Harden,NSW,36.4,"1,046",70.2,"1,984",7.5,67,23.4,211,
Hawkesbury,NSW,30.5,"14,930",66.9,"33,597",7.4,"1,103",23.4,"3,545",
Hay,NSW,39.2,935,73.9,"1,734",9.8,64,28,185,
Holroyd,NSW,29.5,"24,222",65.4,"54,887",9.2,"2,140",26.4,"5,929",
Hornsby,NSW,18.9,"24,853",55.3,"72,337",5.3,"1,844",21.8,"7,694",
Hunters Hill,NSW,19.3,"2,093",56.3,"6,088",5,142,19.8,557,
