council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Melbourne,MELBOURNE,15.3,48.8
Melbourne,MELBOURNE,15.3,48.8
Melbourne,EAST MELBOURNE,15.3,48.8
Melbourne,WEST MELBOURNE,15.3,48.8
Melbourne,MELBOURNE,15.3,48.8
Melbourne,ST KILDA ROAD CENTRAL,15.3,48.8
Melbourne,ST KILDA ROAD MELBOURNE,15.3,48.8
Melbourne,WORLD TRADE CENTRE,15.3,48.8
Port Phillip,SOUTH WHARF,17.4,54.4
Port Phillip,SOUTHBANK,17.4,54.4
Melbourne,DOCKLANDS,15.3,48.8
Melbourne,UNIVERSITY OF MELBOURNE,15.3,48.8
Maribyrnong,FOOTSCRAY,21.9,60.0
Maribyrnong,SEDDON,21.9,60.0
Maribyrnong,SEDDON WEST,21.9,60.0
Brimbank,BROOKLYN,27.4,64.9
Brimbank,KINGSVILLE,27.4,64.9
Brimbank,KINGSVILLE WEST,27.4,64.9
Brimbank,MAIDSTONE,27.4,64.9
Brimbank,TOTTENHAM,27.4,64.9
Brimbank,WEST FOOTSCRAY,27.4,64.9
Maribyrnong,YARRAVILLE,21.9,60.0
Maribyrnong,YARRAVILLE WEST,21.9,60.0
Hobsons Bay,NEWPORT,24.9,63.6
Hobsons Bay,SOUTH KINGSVILLE,24.9,63.6
Hobsons Bay,SPOTSWOOD,24.9,63.6
Hobsons Bay,WILLIAMSTOWN,24.9,63.6
Hobsons Bay,WILLIAMSTOWN NORTH,24.9,63.6
Hobsons Bay,ALTONA,24.9,63.6
Hobsons Bay,SEAHOLME,24.9,63.6
Maribyrnong,BRAYBROOK,21.9,60.0
Maribyrnong,BRAYBROOK NORTH,21.9,60.0
Maribyrnong,ROBINSON,21.9,60.0
Brimbank,ALBION,27.4,64.9
Brimbank,GLENGALA,27.4,64.9
Brimbank,SUNSHINE,27.4,64.9
Brimbank,SUNSHINE NORTH,27.4,64.9
Brimbank,SUNSHINE WEST,27.4,64.9
Brimbank,ALBANVALE,27.4,64.9
Brimbank,KEALBA,27.4,64.9
Brimbank,KINGS PARK,27.4,64.9
Brimbank,ST ALBANS,27.4,64.9
Brimbank,ARDEER,27.4,64.9
Brimbank,DEER PARK EAST,27.4,64.9
Brimbank,BURNSIDE,27.4,64.9
Brimbank,BURNSIDE HEIGHTS,27.4,64.9
Brimbank,CAIRNLEA,27.4,64.9
Brimbank,CAROLINE SPRINGS,27.4,64.9
Brimbank,DEER PARK,27.4,64.9
Brimbank,DEER PARK NORTH,27.4,64.9
Brimbank,RAVENHALL,27.4,64.9
Melton,FIELDSTONE,35.6,74.3
Melton,MAMBOURIN,35.6,74.3
Melton,MANOR LAKES,35.6,74.3
Melton,MOUNT COTTRELL,35.6,74.3
Melton,WYNDHAM VALE,35.6,74.3
Hobsons Bay,ALTONA EAST,24.9,63.6
Hobsons Bay,ALTONA GATE,24.9,63.6
Hobsons Bay,ALTONA NORTH,24.9,63.6
Wyndham,DERRIMUT,31.5,70.3
Wyndham,LAVERTON NORTH,31.5,70.3
Wyndham,LAVERTON RAAF,31.5,70.3
Wyndham,WILLIAMS LANDING,31.5,70.3
Wyndham,WILLIAMS RAAF,31.5,70.3
Wyndham,ALTONA MEADOWS,31.5,70.3
Wyndham,LAVERTON,31.5,70.3
Wyndham,SEABROOK,31.5,70.3
Melton,HOPPERS CROSSING,35.6,74.3
Melton,TARNEIT,35.6,74.3
Melton,TRUGANINA,35.6,74.3
Wyndham,CHARTWELL,31.5,70.3
Wyndham,COCOROC,31.5,70.3
Wyndham,POINT COOK,31.5,70.3
Wyndham,QUANDONG,31.5,70.3
Wyndham,WERRIBEE,31.5,70.3
Wyndham,WERRIBEE SOUTH,31.5,70.3
Moonee Valley,FLEMINGTON,24.4,63.0
Moonee Valley,KENSINGTON,24.4,63.0
Maribyrnong,ASCOT VALE,21.9,60.0
Maribyrnong,HIGHPOINT CITY,21.9,60.0
Maribyrnong,MARIBYRNONG,21.9,60.0
Maribyrnong,TRAVANCORE,21.9,60.0
Brimbank,KEILOR EAST,27.4,64.9
Moonee Valley,AVONDALE HEIGHTS,24.4,63.0
Hume,KEILOR,33.3,71.1
Hume,KEILOR NORTH,33.3,71.1
Brimbank,CALDER PARK,27.4,64.9
Brimbank,DELAHEY,27.4,64.9
Brimbank,HILLSIDE,27.4,64.9
Brimbank,PLUMPTON,27.4,64.9
Brimbank,SYDENHAM,27.4,64.9
Brimbank,TAYLORS HILL,27.4,64.9
Brimbank,KEILOR DOWNS,27.4,64.9
Brimbank,KEILOR LODGE,27.4,64.9
Brimbank,TAYLORS LAKES,27.4,64.9
Brimbank,WATERGARDENS,27.4,64.9
Moonee Valley,MOONEE PONDS,24.4,63.0
Moonee Valley,ABERFELDIE,24.4,63.0
Moonee Valley,ESSENDON,24.4,63.0
Moonee Valley,ESSENDON WEST,24.4,63.0
Moonee Valley,CROSS KEYS,24.4,63.0
Moonee Valley,ESSENDON FIELDS,24.4,63.0
Moonee Valley,ESSENDON NORTH,24.4,63.0
Moonee Valley,STRATHMORE,24.4,63.0
Moonee Valley,STRATHMORE HEIGHTS,24.4,63.0
Brimbank,AIRPORT WEST,27.4,64.9
Brimbank,KEILOR PARK,27.4,64.9
Brimbank,NIDDRIE,27.4,64.9
Brimbank,NIDDRIE NORTH,27.4,64.9
Brimbank,GLADSTONE PARK,27.4,64.9
Brimbank,GOWANBRAE,27.4,64.9
Brimbank,TULLAMARINE,27.4,64.9
Moreland,PASCOE VALE,24.2,62.4
Moreland,PASCOE VALE SOUTH,24.2,62.4
Hume,MELBOURNE AIRPORT,33.3,71.1
Moreland,GLENROY,24.2,62.4
Moreland,HADFIELD,24.2,62.4
Moreland,OAK PARK,24.2,62.4
Hume,BROADMEADOWS,33.3,71.1
Hume,DALLAS,33.3,71.1
Hume,JACANA,33.3,71.1
Hume,COOLAROO,33.3,71.1
Hume,MEADOW HEIGHTS,33.3,71.1
Hume,ATTWOOD,33.3,71.1
Hume,WESTMEADOWS,33.3,71.1
Melbourne,ROYAL MELBOURNE HOSPITAL,15.3,48.8
Melbourne,HOTHAM HILL,15.3,48.8
Melbourne,NORTH MELBOURNE,15.3,48.8
Moreland,MELBOURNE UNIVERSITY,24.2,62.4
Moreland,PARKVILLE,24.2,62.4
Melbourne,CARLTON,15.3,48.8
Melbourne,CARLTON SOUTH,15.3,48.8
Moreland,CARLTON NORTH,24.2,62.4
Moreland,PRINCES HILL,24.2,62.4
Moreland,BRUNSWICK SOUTH,24.2,62.4
Moreland,BRUNSWICK WEST,24.2,62.4
Moreland,MOONEE VALE,24.2,62.4
Moreland,MORELAND WEST,24.2,62.4
Moreland,BRUNSWICK,24.2,62.4
Moreland,BRUNSWICK LOWER,24.2,62.4
Moreland,BRUNSWICK NORTH,24.2,62.4
Moreland,BRUNSWICK EAST,24.2,62.4
Moreland,LYGON STREET NORTH,24.2,62.4
Moreland,SUMNER,24.2,62.4
Darebin,BATMAN,23.9,61.9
Darebin,COBURG,23.9,61.9
Darebin,COBURG NORTH,23.9,61.9
Darebin,MERLYNSTON,23.9,61.9
Darebin,MORELAND,23.9,61.9
Hume,GREENVALE,33.3,71.1
Hume,FAWKNER,33.3,71.1
Hume,FAWKNER EAST,33.3,71.1
Hume,FAWKNER NORTH,33.3,71.1
Hume,CAMPBELLFIELD,33.3,71.1
Hume,SOMERTON,33.3,71.1
Hume,OAKLANDS JUNCTION,33.3,71.1
Hume,YUROKE,33.3,71.1
Whittlesea,CRAIGIEBURN,30.8,69.4
Whittlesea,DONNYBROOK,30.8,69.4
Whittlesea,KALKALLO,30.8,69.4
