council,suburb,Adults - Obesity Rate
Melbourne,MELBOURNE,15.3
Melbourne,MELBOURNE,15.3
Melbourne,EAST MELBOURNE,15.3
Melbourne,WEST MELBOURNE,15.3
Melbourne,MELBOURNE,15.3
Melbourne,ST KILDA ROAD CENTRAL,15.3
Melbourne,ST KILDA ROAD MELBOURNE,15.3
Melbourne,WORLD TRADE CENTRE,15.3
Port Phillip,SOUTH WHARF,17.4
Port Phillip,SOUTHBANK,17.4
Melbourne,DOCKLANDS,15.3
Melbourne,UNIVERSITY OF MELBOURNE,15.3
Maribyrnong,FOOTSCRAY,21.9
Maribyrnong,SEDDON,21.9
Maribyrnong,SEDDON WEST,21.9
Brimbank,BROOKLYN,27.4
Brimbank,KINGSVILLE,27.4
Brimbank,KINGSVILLE WEST,27.4
Brimbank,MAIDSTONE,27.4
Brimbank,TOTTENHAM,27.4
Brimbank,WEST FOOTSCRAY,27.4
Maribyrnong,YARRAVILLE,21.9
Maribyrnong,YARRAVILLE WEST,21.9
Hobsons Bay,NEWPORT,24.9
Hobsons Bay,SOUTH KINGSVILLE,24.9
Hobsons Bay,SPOTSWOOD,24.9
Hobsons Bay,WILLIAMSTOWN,24.9
Hobsons Bay,WILLIAMSTOWN NORTH,24.9
Hobsons Bay,ALTONA,24.9
Hobsons Bay,SEAHOLME,24.9
Maribyrnong,BRAYBROOK,21.9
Maribyrnong,BRAYBROOK NORTH,21.9
Maribyrnong,ROBINSON,21.9
Brimbank,ALBION,27.4
Brimbank,GLENGALA,27.4
Brimbank,SUNSHINE,27.4
Brimbank,SUNSHINE NORTH,27.4
Brimbank,SUNSHINE WEST,27.4
Brimbank,ALBANVALE,27.4
Brimbank,KEALBA,27.4
Brimbank,KINGS PARK,27.4
Brimbank,ST ALBANS,27.4
Brimbank,ARDEER,27.4
Brimbank,DEER PARK EAST,27.4
Brimbank,BURNSIDE,27.4
Brimbank,BURNSIDE HEIGHTS,27.4
Brimbank,CAIRNLEA,27.4
Brimbank,CAROLINE SPRINGS,27.4
Brimbank,DEER PARK,27.4
Brimbank,DEER PARK NORTH,27.4
Brimbank,RAVENHALL,27.4
Melton,FIELDSTONE,35.6
Melton,MAMBOURIN,35.6
Melton,MANOR LAKES,35.6
Melton,MOUNT COTTRELL,35.6
Melton,WYNDHAM VALE,35.6
Hobsons Bay,ALTONA EAST,24.9
Hobsons Bay,ALTONA GATE,24.9
Hobsons Bay,ALTONA NORTH,24.9
Wyndham,DERRIMUT,31.5
Wyndham,LAVERTON NORTH,31.5
Wyndham,LAVERTON RAAF,31.5
Wyndham,WILLIAMS LANDING,31.5
Wyndham,WILLIAMS RAAF,31.5
Wyndham,ALTONA MEADOWS,31.5
Wyndham,LAVERTON,31.5
Wyndham,SEABROOK,31.5
Melton,HOPPERS CROSSING,35.6
Melton,TARNEIT,35.6
Melton,TRUGANINA,35.6
Wyndham,CHARTWELL,31.5
Wyndham,COCOROC,31.5
Wyndham,POINT COOK,31.5
Wyndham,QUANDONG,31.5
Wyndham,WERRIBEE,31.5
Wyndham,WERRIBEE SOUTH,31.5
Moonee Valley,FLEMINGTON,24.4
Moonee Valley,KENSINGTON,24.4
Maribyrnong,ASCOT VALE,21.9
Maribyrnong,HIGHPOINT CITY,21.9
Maribyrnong,MARIBYRNONG,21.9
Maribyrnong,TRAVANCORE,21.9
Brimbank,KEILOR EAST,27.4
Moonee Valley,AVONDALE HEIGHTS,24.4
Hume,KEILOR,33.3
Hume,KEILOR NORTH,33.3
Brimbank,CALDER PARK,27.4
Brimbank,DELAHEY,27.4
Brimbank,HILLSIDE,27.4
Brimbank,PLUMPTON,27.4
Brimbank,SYDENHAM,27.4
Brimbank,TAYLORS HILL,27.4
Brimbank,KEILOR DOWNS,27.4
Brimbank,KEILOR LODGE,27.4
Brimbank,TAYLORS LAKES,27.4
Brimbank,WATERGARDENS,27.4
Moonee Valley,MOONEE PONDS,24.4
Moonee Valley,ABERFELDIE,24.4
Moonee Valley,ESSENDON,24.4
Moonee Valley,ESSENDON WEST,24.4
Moonee Valley,CROSS KEYS,24.4
Moonee Valley,ESSENDON FIELDS,24.4
Moonee Valley,ESSENDON NORTH,24.4
Moonee Valley,STRATHMORE,24.4
Moonee Valley,STRATHMORE HEIGHTS,24.4
Brimbank,AIRPORT WEST,27.4
Brimbank,KEILOR PARK,27.4
Brimbank,NIDDRIE,27.4
Brimbank,NIDDRIE NORTH,27.4
Brimbank,GLADSTONE PARK,27.4
Brimbank,GOWANBRAE,27.4
Brimbank,TULLAMARINE,27.4
Moreland,PASCOE VALE,24.2
Moreland,PASCOE VALE SOUTH,24.2
Hume,MELBOURNE AIRPORT,33.3
Moreland,GLENROY,24.2
Moreland,HADFIELD,24.2
Moreland,OAK PARK,24.2
Hume,BROADMEADOWS,33.3
Hume,DALLAS,33.3
Hume,JACANA,33.3
Hume,COOLAROO,33.3
Hume,MEADOW HEIGHTS,33.3
Hume,ATTWOOD,33.3
Hume,WESTMEADOWS,33.3
Melbourne,ROYAL MELBOURNE HOSPITAL,15.3
Melbourne,HOTHAM HILL,15.3
Melbourne,NORTH MELBOURNE,15.3
Moreland,MELBOURNE UNIVERSITY,24.2
Moreland,PARKVILLE,24.2
Melbourne,CARLTON,15.3
Melbourne,CARLTON SOUTH,15.3
Moreland,CARLTON NORTH,24.2
Moreland,PRINCES HILL,24.2
Moreland,BRUNSWICK SOUTH,24.2
Moreland,BRUNSWICK WEST,24.2
Moreland,MOONEE VALE,24.2
Moreland,MORELAND WEST,24.2
Moreland,BRUNSWICK,24.2
Moreland,BRUNSWICK LOWER,24.2
Moreland,BRUNSWICK NORTH,24.2
Moreland,BRUNSWICK EAST,24.2
Moreland,LYGON STREET NORTH,24.2
Moreland,SUMNER,24.2
Darebin,BATMAN,23.9
Darebin,COBURG,23.9
Darebin,COBURG NORTH,23.9
Darebin,MERLYNSTON,23.9
Darebin,MORELAND,23.9
Hume,GREENVALE,33.3
Hume,FAWKNER,33.3
Hume,FAWKNER EAST,33.3
Hume,FAWKNER NORTH,33.3
Hume,CAMPBELLFIELD,33.3
Hume,SOMERTON,33.3
Hume,OAKLANDS JUNCTION,33.3
Hume,YUROKE,33.3
Whittlesea,CRAIGIEBURN,30.8
Whittlesea,DONNYBROOK,30.8
Whittlesea,KALKALLO,30.8
Whittlesea,MICKLEHAM,30.8
Whittlesea,ROXBURGH PARK,30.8
Yarra,FITZROY,16.3
Yarra,COLLINGWOOD,16.3
Yarra,COLLINGWOOD NORTH,16.3
Yarra,ABBOTSFORD,16.3
Moreland,CLIFTON HILL,24.2
Moreland,FITZROY NORTH,24.2
Moreland,NORTHCOTE,24.2
Moreland,NORTHCOTE SOUTH,24.2
Darebin,THORNBURY,23.9
Darebin,GILBERTON,23.9
Darebin,NORTHLAND CENTRE,23.9
Darebin,PRESTON,23.9
Darebin,PRESTON LOWER,23.9
Darebin,PRESTON SOUTH,23.9
Darebin,PRESTON WEST,23.9
Darebin,REGENT WEST,23.9
Darebin,SYLVESTER,23.9
Darebin,KEON PARK,23.9
Darebin,RESERVOIR,23.9
Darebin,RESERVOIR EAST,23.9
Darebin,RESERVOIR NORTH,23.9
Darebin,RESERVOIR SOUTH,23.9
Whittlesea,THOMASTOWN,30.8
Whittlesea,LALOR,30.8
Whittlesea,LALOR PLAZA,30.8
Whittlesea,EPPING,30.8
Whittlesea,EPPING DC,30.8
Yarra,ALPHINGTON,16.3
Yarra,FAIRFIELD,16.3
Banyule,IVANHOE,22.9
Banyule,IVANHOE EAST,22.9
Banyule,IVANHOE NORTH,22.9
Banyule,BELLFIELD,22.9
Banyule,HEIDELBERG HEIGHTS,22.9
Banyule,HEIDELBERG RGH,22.9
Banyule,HEIDELBERG WEST,22.9
Whittlesea,MILL PARK,30.8
Darebin,BUNDOORA,23.9
Darebin,KINGSBURY,23.9
Darebin,LA TROBE UNIVERSITY,23.9
Banyule,BANYULE,22.9
Banyule,EAGLEMONT,22.9
Banyule,HEIDELBERG,22.9
Banyule,ROSANNA,22.9
Banyule,VIEWBANK,22.9
Darebin,MACLEOD,23.9
Darebin,MACLEOD WEST,23.9
Darebin,YALLAMBIE,23.9
Darebin,LA TROBE UNIVERSITY,23.9
Banyule,WATSONIA,22.9
Banyule,WATSONIA NORTH,22.9
Nillumbik,BRIAR HILL,22.8
Nillumbik,GREENSBOROUGH,22.8
Nillumbik,SAINT HELENA,22.8
Nillumbik,ST HELENA,22.8
Nillumbik,DIAMOND CREEK,22.8
Nillumbik,PLENTY,22.8
Nillumbik,YARRAMBAT,22.8
Banyule,LOWER PLENTY,22.9
Banyule,MONTMORENCY,22.9
Banyule,ELTHAM,22.9
Banyule,ELTHAM NORTH,22.9
Banyule,RESEARCH,22.9
Nillumbik,WATTLE GLEN,22.8
Nillumbik,BEND OF ISLANDS,22.8
Nillumbik,KANGAROO GROUND,22.8
Nillumbik,WATSONS CREEK,22.8
Nillumbik,ARTHURS CREEK,22.8
Nillumbik,COTTLES BRIDGE,22.8
Nillumbik,HURSTBRIDGE,22.8
Nillumbik,NUTFIELD,22.8
Nillumbik,STRATHEWEN,22.8
Boroondara,COTHAM,14.5
Boroondara,KEW,14.5
Boroondara,KEW EAST,14.5
Boroondara,BALWYN,14.5
Boroondara,BALWYN EAST,14.5
Boroondara,DEEPDENE,14.5
Boroondara,DEEPDENE DC,14.5
Boroondara,STRADBROKE PARK,14.5
Whitehorse,BALWYN NORTH,19.5
Whitehorse,GREYTHORN,19.5
Manningham,BULLEEN,19.1
Manningham,BULLEEN SOUTH,19.1
Manningham,TEMPLESTOWE,19.1
Manningham,TEMPLESTOWE LOWER,19.1
Manningham,DONCASTER,19.1
Manningham,DONCASTER EAST,19.1
Manningham,DONCASTER HEIGHTS,19.1
Manningham,THE PINES,19.1
Manningham,TUNSTALL SQUARE PO,19.1
Manningham,DONVALE,19.1
Nillumbik,NORTH WARRANDYTE,22.8
Nillumbik,WARRANDYTE,22.8
Maroondah,PARK ORCHARDS,26.3
Maroondah,WONGA PARK,26.3
Yarra Ranges,CHIRNSIDE PARK,27.1
Yarra,BURNLEY,16.3
Yarra,BURNLEY NORTH,16.3
Yarra,CREMORNE,16.3
Yarra,RICHMOND,16.3
Yarra,RICHMOND EAST,16.3
Yarra,RICHMOND NORTH,16.3
Yarra,RICHMOND SOUTH,16.3
Yarra,VICTORIA GARDENS,16.3
Boroondara,AUBURN SOUTH,14.5
Boroondara,GLENFERRIE SOUTH,14.5
Boroondara,HAWTHORN,14.5
Boroondara,HAWTHORN NORTH,14.5
Boroondara,HAWTHORN WEST,14.5
Boroondara,AUBURN,14.5
Boroondara,HAWTHORN EAST,14.5
Boroondara,CAMBERWELL,14.5
Boroondara,CAMBERWELL NORTH,14.5
Boroondara,CAMBERWELL SOUTH,14.5
Boroondara,CAMBERWELL WEST,14.5
Boroondara,HARTWELL,14.5
Boroondara,MIDDLE CAMBERWELL,14.5
Monash,BENNETTSWOOD,19.7
Monash,BURWOOD,19.7
Monash,SURREY HILLS SOUTH,19.7
Boroondara,CAMBERWELL EAST,14.5
Boroondara,CANTERBURY,14.5
Boroondara,MONT ALBERT,14.5
Boroondara,SURREY HILLS,14.5
