LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Albury,NSW,36.2,"13,972",69.7,"26,773",7.4,815,23.1,"2,573",
Armidale Dumaresq,NSW,32.8,"5,777",65.6,"11,471",7.2,371,22.2,"1,173",
Ashfield,NSW,19.8,"6,636",55.5,"19,012",6.4,438,24.6,"1,636",
Auburn,NSW,22.5,"13,712",58.1,"36,165",12.1,"2,116",31.2,"5,277",
Ballina,NSW,30.6,"10,516",64.3,"21,703",6.1,511,21.4,"1,844",
Balranald,NSW,39.2,723,73.9,"1,341",9.8,49,28,143,
Bankstown,NSW,27.5,"40,185",63.5,"93,271",10.1,"4,590",27.3,"12,361",
Bathurst Regional,NSW,36.7,"10,954",70.7,"20,944",7.9,729,23,"2,167",
Bega Valley,NSW,31.3,"8,883",65.1,"17,990",6.8,437,21.7,"1,432",
Bellingen,NSW,35.6,"3,726",69.2,"7,084",7.3,208,22.1,646,
Berrigan,NSW,36.7,"2,532",70.9,"4,813",6.9,109,23.7,381,
Blacktown,NSW,30.6,"72,705",67.1,"160,354",10,"8,052",27.8,"22,289",
Bland,NSW,40,"1,889",74.7,"3,479",7.9,106,25.1,343,
Blayney,NSW,42.6,"2,314",75.3,"4,033",8.3,154,23.7,451,
Blue Mountains,NSW,26.2,"16,678",63.5,"39,715",6.4,"1,025",22.2,"3,615",
Bogan,NSW,42.2,951,76.8,"1,720",8.5,59,25.6,175,
Bombala ,NSW,37.6,731,72.9,"1,390",6.7,31,25.3,121,
Boorowa,NSW,36.3,701,70.2,"1,330",7.5,44,23.4,141,
Botany Bay,NSW,25.8,"9,077",62,"22,174",7.8,646,25.8,"2,092",
Bourke,NSW,,,,,,,,,
Brewarrina,NSW,,,,,,,,,
Broken Hill,NSW,37.2,"5,464",70,"10,174",10.5,397,27.9,"1,081",
Burwood,NSW,19.4,"5,349",54.7,"15,347",6.5,377,23.7,"1,371",
Byron,NSW,27.3,"7,118",60.7,"15,503",6.2,411,21.2,"1,413",
Cabonne,NSW,38.6,"3,954",73,"7,407",7.7,265,24.3,843,
Camden,NSW,33.8,"17,050",71.2,"36,093",7.8,"1,402",23.7,"4,223",
Campbelltown,NSW,33.4,"38,837",70,"81,217",9.8,"3,420",27.1,"9,497",
Canada Bay,NSW,20.6,"14,170",57,"39,780",5.5,826,22.4,"3,234",
Canterbury,NSW,24.8,"28,034",60.2,"68,666",9.5,"2,901",28,"8,343",
Carrathool,NSW,42.1,841,77.2,"1,522",8,53,25.1,169,
Central Darling ,NSW,37.2,590,70,"1,098",10.5,43,27.9,117,
Cessnock,NSW,40.2,"16,405",73.6,"29,789",9.7,"1,246",26,"3,351",
