LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Aurukun,QLD,,,,,,,,,
Balonne,QLD,39.5,"1,430",72,"2,577",7.7,91,26.9,311,
Banana,QLD,35.7,"3,827",69.2,"7,443",7.1,259,25.7,919,
Barcaldine,QLD,,,,,,,,,
Barcoo,QLD,,,,,,,,,
Blackall Tambo,QLD,,,,,,,,,
Boulia,QLD,,,,,,,,,
Brisbane,QLD,23.8,"201,250",58.8,"501,584",6.7,"14,050",25.7,"53,106",
Bulloo,QLD,,,,,,,,,
Bundaberg,QLD,35.7,"26,962",67.5,"50,253",8.5,"1,613",24.9,"4,744",
Burdekin,QLD,35.3,"4,823",67.4,"9,118",7.4,277,25.5,969,
Burke,QLD,,,,,,,,,
Cairns,QLD,30.6,"38,387",62.3,"77,739",8.2,"3,141",25.2,"9,597",
Carpentaria,QLD,,,,,,,,,
Cassowary Coast,QLD,37.8,"8,588",70.4,"15,769",8.4,485,26.9,"1,556",
Central Highlands,QLD,36.8,"7,786",69.7,"14,839",8.4,609,26.1,"1,842",
Charters Towers,QLD,37.7,"3,476",69.7,"6,355",8.9,238,27.2,726,
Cherbourg ,QLD,41.5,430,73.8,748,10.2,27,28.1,75,
Cloncurry,QLD,,,,,,,,,
Cook,QLD,,,,,,,,,
Croydon,QLD,,,,,,,,,
Diamantina,QLD,,,,,,,,,
Doomadgee,QLD,,,,,,,,,
Etheridge,QLD,,,,,,,,,
Flinders,QLD,,,,,,,,,
Fraser Coast,QLD,35.8,"29,651",67.8,"55,100",9.2,"1,877",24.9,"5,122",
Gladstone,QLD,34.4,"16,566",67.6,"32,567",7.6,"1,187",24.4,"3,760",
Gold Coast,QLD,28.3,"119,742",60.5,"256,262",7.7,"8,261",25.9,"27,619",
Goondiwindi ,QLD,39.5,"3,220",72,"5,805",7.7,204,26.9,701,
Gympie,QLD,36.2,"14,061",68,"25,952",8.7,914,25.4,"2,658",
Hinchinbrook,QLD,37.7,"3,304",69.7,"6,041",8.9,226,27.2,690,
Hope Vale,QLD,,,,,,,,,
Ispwich,QLD,35.3,"46,167",71.2,"93,453",10.1,"4,714",29,"13,294",
Isaac,QLD,37.4,"5,603",72.1,"10,955",8,459,25.2,"1,371",
Kowanyama,QLD,,,,,,,,,
Lockhart River,QLD,,,,,,,,,
Lockyer Valley,QLD,35.7,"10,192",68.9,"19,489",9.1,804,25.8,"2,279",
Logan,QLD,33.5,"72,861",68.8,"149,209",10,"7,233",30,"21,439",
Longreach,QLD,,,,,,,,,
Mackay,QLD,34,"30,815",65.8,"59,523",7.2,"1,982",25.2,"6,813",
McKinlay,QLD,,,,,,,,,
Mapoon,QLD,,,,,,,,,
Maranoa,QLD,39.1,"3,883",71.9,"7,148",7.3,231,25.1,768,
Moreton Bay ,QLD,31.9,"99,511",67.3,"208,138",8.4,"8,029",26.6,"25,338",
Mornington,QLD,,,,,,,,,
Mount Isa,QLD,35.6,"5,151",68.4,"10,031",9.3,479,27.7,"1,387",
Murweh,QLD,,,,,,,,,
Napranum,QLD,,,,,,,,,
North Burnett,QLD,38.6,"3,326",71.4,"6,016",8.6,179,27.6,577,
Northern Peninsula Area,QLD,,,,,,,,,
Palm Island,QLD,37.7,668,69.7,"1,221",8.9,46,27.2,139,
Paroo,QLD,,,,,,,,,
Pormpuraaw,QLD,,,,,,,,,
Quilpie,QLD,,,,,,,,,
Redland,QLD,30,"34,150",65.4,"73,437",7,"2,243",25.5,"8,199",
Richmond ,QLD,,,,,,,,,
Rockhampton,QLD,35.6,"31,246",67.8,"59,326",8.7,"2,281",26.4,"6,851",
Scenic Rim,QLD,33.4,"10,199",67.5,"20,238",8,676,25,"2,120",
Somerset,QLD,32.3,"5,986",67.2,"12,168",9.5,498,25.5,"1,343",
South Burnett,QLD,38.6,"9,799",70.8,"17,664",9.1,660,26.4,"1,908",
Southern Downs,QLD,35.3,"9,903",67.3,"18,576",8,615,25.7,"1,987",
Sunshine Coast,QLD,28.8,"78,304",61.2,"164,413",6.8,"4,599",23.2,"15,901",
Tablelands,QLD,34.2,"10,913",66.4,"20,817",8.1,742,25.5,"2,335",
Toowoomba,QLD,36.3,"43,237",68.5,"81,231",7.6,"2,744",24.8,"8,912",
Torres,QLD,,,,,,,,,
Torres Strait Island,QLD,,,,,,,,,
Townsville,QLD,31.3,"42,888",64.1,"87,979",8.3,"3,509",25.7,"10,711",
Weipa,QLD,,,,,,,,,
Western Downs,QLD,39.3,"9,504",72,"17,347",7.4,584,25.6,"1,979",
Whitsunday,QLD,34,"8,502",66.3,"16,499",8.1,519,24.8,"1,583",
Winton ,QLD,,,,,,,,,
Woorabinda,QLD,,,,,,,,,
Wujal Wujal,QLD,,,,,,,,,
Yarrabah ,QLD,38.4,714,70.4,"1,298",9.8,55,29.1,163,
