LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Adeliade,SA,18.2,"3,071",51.3,"8,881",5.5,70,18.8,227,
Adeliade Hills,SA,23.6,"7,675",60.9,"19,289",4.5,370,20.9,"1,751",
Alexandrina,SA,34.1,"6,933",68.4,"13,608",6.3,283,21.6,958,
Anangu Pitjantjatjara,SA,,,,,,,,,
Barossa,SA,33,"5,589",67.6,"11,309",5,248,21.3,"1,040",
Barunga West,SA,39.3,737,74.1,"1,367",7.1,37,23.7,121,
Berri and Barmera,SA,36.2,"2,756",68.6,"5,168",7.5,167,23.7,527,
Burnside,SA,17.3,"6,390",53.8,"19,602",3.5,268,19.6,"1,559",
Campbelltown,SA,25.9,"10,742",61.5,"25,553",5.3,468,23.6,"2,134",
Ceduna,SA,,,,,,,,,
Charles Sturt,SA,27.5,"25,226",63.5,"58,428",6.1,"1,136",24.9,"4,657",
Clare and Gilbert valleys,SA,35.4,"2,362",69.7,"4,564",5.7,114,21.2,412,
Cleve,SA,35.9,467,70.7,909,5.9,21,23,78,
Coober Pedy,SA,,,,,,,,,
Copper Coast ,SA,33.5,"3,678",66.9,"7,239",7.2,188,22.4,569,
Elliston,SA,,,,,,,,,
Flinders Rangers,SA,37.4,462,72.1,879,7.6,27,25.8,87,
Franklin Harbour,SA,35.9,342,70.7,666,5.9,15,23,57,
Gawler,SA,34.6,"6,136",71.4,"12,582",6.7,294,22.3,992,
Goyder,SA,39.5,"1,245",74.4,"2,303",6.7,57,22.9,195,
Grant,SA,40.9,"2,424",74.9,"4,368",8.7,148,26.5,443,
Holdfast Bay,SA,23.7,"7,329",59.5,"18,284",4.3,219,21,"1,089",
Kangaroo Island,SA,36.6,"1,324",70.4,"2,483",6.8,57,22.3,186,
Karoonda East Murray,SA,38.7,301,73,558,6.6,14,25.1,51,
Kimba,SA,35.9,292,70.7,569,5.9,13,23,49,
Kingston,SA,36.2,632,70.5,"1,216",5.4,25,23.7,108,
Light,SA,36.3,"3,951",72.8,"7,804",6.4,212,23,762,
Lower Eyre Peninsula,SA,,,,,,,,,
Loxton Waikerie,SA,39.1,"3,327",72.7,"6,070",7.2,156,23.9,525,
Mallala,SA,35.3,"2,401",71.3,"4,759",7,142,23.6,476,
Maralinga Tjarutja,SA,,,,,,,,,
