LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Alpine,VIC,34.1,"3,250",70.2,"6,517",6.1,142,28.2,685,
Ararat,VIC,32.6,"2,841",68.4,"5,851",7.4,157,28.6,619,
Ballarat,VIC,33.8,"24,661",69.4,"50,387",8.1,"1,804",29.3,"6,584",
Banyule,VIC,22.9,"22,329",61.5,"59,897",6.1,"1,401",28,"6,365",
Bass Coast,VIC,31,"7,917",66.9,"16,816",7.6,477,27.3,"1,710",
Baw Baw,VIC,32.7,"11,589",67.8,"23,591",7.5,795,27.5,"2,932",
Bayside,VIC,17.7,"14,084",56,"43,822",4.8,984,25.3,"5,326",
Benalla,VIC,31.2,"3,377",67,"7,090",6.8,184,28.3,789,
Boroondara,VIC,14.5,"19,341",53.1,"70,726",4.5,"1,428",24.4,"7,956",
Brimbank,VIC,27.4,"41,169",64.9,"97,795",10,"3,796",34.4,"13,162",
Buloke,VIC,32.4,"1,574",68.1,"3,253",6.3,79,28.5,367,
Campaspe,VIC,33,"9,233",68.4,"18,826",7.5,621,28.9,"2,458",
Cardinia,VIC,32.4,"20,891",71.2,"45,888",8.7,"1,843",28.2,"5,953",
Casey,VIC,32.2,"66,641",70.5,"146,362",9.3,"6,217",31.6,"21,260",
Central Goldfields,VIC,36.1,"3,664",71.3,"7,108",9,225,30.7,786,
Colac-Otway,VIC,31.3,"4,914",66.8,"10,327",6.6,270,29.1,"1,220",
Corangamite,VIC,33.3,"4,065",69.9,"8,384",6.5,240,30.2,"1,132",
Darebin,VIC,23.9,"27,277",61.9,"71,966",7.6,"1,761",31.1,"7,087",
East Gippsland,VIC,33.9,"12,064",69.4,"24,136",8.8,777,30,"2,692",
Frankston ,VIC,30.8,"31,999",68.8,"71,178",8.1,"2,123",29.4,"7,714",
Gannawarra,VIC,32.4,"2,556",68.1,"5,284",6.3,128,28.5,596,
Glen Eira,VIC,18.6,"20,475",56.9,"63,254",5.5,"1,481",26.7,"7,159",
Glenelg,VIC,32.5,"4,911",69,"10,219",7.1,281,27.9,"1,151",
Golden Plains,VIC,35.4,"5,298",71.9,"10,538",7.3,380,27.8,"1,486",
Greater Bendigo,VIC,34.2,"27,048",69.6,"54,666",7.8,"1,894",28.7,"7,027",
Greater Dandenong,VIC,26.3,"29,815",63.2,"72,271",10.6,"2,942",37,"10,301",
Greater Geelong,VIC,29.2,"49,703",64.6,"108,957",7.8,"3,719",28.6,"13,756",
Greater Shepparton,VIC,34.4,"15,664",68.8,"30,998",8,"1,219",30.5,"4,722",
Hepburn,VIC,33.3,"4,052",69.3,"8,201",7.3,213,30.4,875,
Hindmarsh,VIC,33,"1,450",69.7,"3,000",6.2,68,29.3,335,
Hobsons Bay,VIC,24.9,"17,759",63.6,"45,532",7.3,"1,222",29.3,"4,797",
Horsham,VIC,32.2,"4,760",66.7,"9,765",6.3,275,28.4,"1,253",
Hume,VIC,33.3,"45,804",71.1,"97,983",10.5,"4,632",32.7,"14,463",
Indigo,VIC,32.7,"3,976",69.4,"8,207",6,205,25.8,906,
Kingston,VIC,24.8,"30,034",63.3,"76,636",6.4,"1,739",28.4,"7,770",
Knox,VIC,24.5,"29,791",62.9,"75,764",6.2,"1,814",28.3,"8,368",
Latrobe,VIC,33.8,"18,529",68.9,"37,386",8.7,"1,395",29.7,"4,775",
Loddon,VIC,34.8,"2,133",70.3,"4,198",7.7,106,31.4,444,
Macedon Ranges,VIC,29.6,"10,341",67.9,"23,177",6.4,654,26.6,"2,767",
Manningham,VIC,19.1,"18,449",57.4,"54,993",5,"1,036",26.3,"5,598",
Mansfield,VIC,33.9,"2,122",69.1,"4,195",6.6,115,25.1,436,
Maribyrnong,VIC,21.9,"13,506",60,"38,073",8.3,"1,059",31.2,"3,836",
Maroondah,VIC,26.3,"22,417",64.6,"55,039",6.4,"1,371",28.9,"6,188",
Melbourne,VIC,15.3,"13,932",48.8,"46,716",7.6,594,27.7,"2,066",
Melton,VIC,35.6,"32,248",74.3,"67,725",9.8,"3,135",30.4,"9,651",
Mildura,VIC,35.6,"13,782",70,"26,828",9.7,"1,218",30.6,"3,939",
Mitchell,VIC,33.6,"9,538",70.3,"19,635",8.6,749,28.3,"2,497",
Moira,VIC,34.6,"7,695",70.2,"15,362",7.8,496,30,"1,923",
Monash,VIC,19.7,"28,286",57.1,"82,567",6.1,"1,873",28,"8,660",
Moonee Valley,VIC,24.4,"22,478",63,"58,570",7.3,"1,498",28.4,"5,869",
Moorabool,VIC,35.1,"8,379",73,"17,159",7.9,572,28,"2,025",
Moreland,VIC,24.2,"30,048",62.4,"79,534",7.9,"2,060",30.8,"7,932",
Mornington Peninsula ,VIC,27.4,"34,178",65.5,"80,685",6.7,"1,949",27,"8,020",
Mount Alexander,VIC,32.1,"4,756",67.8,"9,755",7.2,236,28.2,951,
Moyne,VIC,34.3,"4,068",71.8,"8,365",6.3,250,28.5,"1,151",
Murrindindi,VIC,32.7,"3,602",69.8,"7,546",7.7,215,28,798,
Nillumbik,VIC,22.8,"11,192",62.1,"29,716",5.1,688,26.6,"3,722",
Northern Grampians,VIC,33.5,"2,995",68.8,"6,036",8.1,184,29.2,695,
Port Phillip,VIC,17.4,"14,737",54.4,"47,427",5.5,594,26.6,"2,805",
Pyrenees,VIC,35.6,"2,002",71.8,"3,920",8.1,104,29.4,387,
Queenscliffe,VIC,26.5,681,63,"1,588",5.5,43,23.9,187,
South Gippsland,VIC,31.2,"6,745",67.4,"14,260",6.6,404,27.3,"1,717",
Southern Grampians,VIC,29.3,"3,543",65.3,"7,753",5.5,189,27.2,961,
Stonnington,VIC,15.5,"13,055",53.3,"46,063",4.8,642,25,"3,346",
Strathbogie,VIC,35.1,"2,854",70.7,"5,644",7,120,27.7,483,
Surf Coast,VIC,27.3,"5,932",63.6,"13,584",6,438,25.2,"1,869",
Swan Hill,VIC,33,"4,907",68,"10,031",8.2,396,31.2,"1,528",
Towong,VIC,32.9,"1,548",69.2,"3,164",5.9,70,27.4,338,
