LGA,State,Adults - Obesity - ASR,Adults - Obesity - Number,Adults - Overweight/Obese - ASR,Adults- Overweight/Obese - Number,Youth - Obesity - ASR,Youth - Obesity - number,Youth - Overweight/Obesity - ASR,Youth - Overweight/Obesity - number,"ASR - Age standardised rate, Youth 2-17 years, Adults 18+"
Albany,WA,27.7,"8,272",61,"17,969",5.8,544,23,"2,204",
Armadale,WA,28.7,"16,441",65.8,"38,008",7.7,"1,350",26.2,"4,525",
Ashburton,WA,,,,,,,,,
Augusta-Margaret River,WA,25.9,"2,885",59.7,"6,575",4.9,170,21.3,749,
Bassendean,WA,23.7,"2,948",61,"7,641",5.7,161,24.6,673,
Bayswater,WA,21.3,"11,643",57.8,"31,963",5.5,630,25.2,"2,782",
Belmont,WA,23.2,"7,255",59.2,"18,944",6.7,428,29.3,"1,824",
Beverley,WA,33.8,467,67.7,916,6.7,27,25.2,104,
Boddington,WA,30.1,555,64.7,"1,170",5.5,26,24.4,115,
Boyup Brook,WA,31.2,464,65.7,949,5.6,23,24,102,
Bridgetown-Greenbushes,WA,31.2,"1,263",65.7,"2,583",5.6,63,24,279,
Brookton,WA,,,,,,,,,
Broome,WA,30.1,"3,104",62.2,"6,443",7.7,310,25.8,"1,054",
Broomehill-Tambellup,WA,28.9,262,64.8,581,4.6,14,26.3,80,
Bruce Rock,WA,,,,,,,,,
Bunbury,WA,29,"7,856",61.2,"16,470",6.4,476,23.8,"1,772",
Busselton,WA,27.8,"8,116",61.3,"17,646",5.4,520,21.7,"2,138",
Cambridge,WA,14.4,"3,091",50.1,"10,775",3.8,213,20.6,"1,173",
Canning,WA,19.9,"14,602",55.4,"41,095",5.6,958,27.8,"4,755",
Capel,WA,29.9,"3,753",63.4,"7,868",6.3,360,23.4,"1,393",
Carnamah,WA,,,,,,,,,
Carnarvon,WA,27.9,"1,256",61.5,"2,738",7.2,102,27.4,391,
Chapman Valley,WA,30.7,313,65.1,650,6.2,20,23.1,77,
Chittering,WA,31.8,"1,382",65.9,"2,787",5.9,70,22.7,280,
Claremont,WA,14,"1,121",49.5,"3,956",3.7,66,20,366,
Cockburn,WA,25.5,"20,194",62.2,"49,510",6,"1,326",25.7,"5,546",
Collie,WA,34.3,"2,528",68.9,"4,975",7,159,27.3,638,
Coolgardie,WA,,,,,,,,,
Coorow,WA,31.6,287,66.4,588,6.1,14,23.9,58,
Corrigin,WA,30.2,285,64.1,591,5,12,25.9,60,
Cottesloe,WA,14.3,948,49.8,"3,295",3.7,53,19.7,288,
Cranbrook,WA,28.9,248,64.8,550,4.6,13,26.3,76,
Cuballing,WA,,,,,,,,,
Cue,WA,,,,,,,,,
Cunderdin,WA,31.8,322,66.2,660,5.8,16,25,72,
Dalwallinu,WA,31.1,339,65.6,700,5.5,17,24.1,74,
Dandaragan,WA,31.8,995,65.9,"2,006",5.9,51,22.7,201,
Dardanup,WA,30.7,"3,339",64.7,"6,976",6,229,24,927,
Denmark,WA,28.7,"1,423",62.8,"3,038",5.3,69,22.9,312,
Derby-West Kimberley,WA,,,,,,,,,
Donnybrook-Balingup,WA,31.2,"1,556",65.7,"3,183",5.6,78,24,344,
Dowerin,WA,,,,,,,,,
Dumbleyung,WA,,,,,,,,,
Dundas,WA,,,,,,,,,
East Fremantle,WA,17.4,"1,118",53.8,3447,4.3,52,21.6,256,
East Pilbara,WA,,,,,,,,,
Esperance,WA,26.8,"2,589",59.4,5662,5.9,188,24,786,
Exmouth,WA,,,,,,,,,
Fremantle,WA,19.4,"4,753",55.7,"13,590",4.7,237,22.2,"1,099",
Grealdton-Greenough,WA,30.5,"9,279",63.3,"19,015",6.6,734,24.2,"2,751",
Gingin,WA,31.8,"1,463",65.9,"2,949",5.9,74,22.7,296,
Gnowangerup,WA,28.9,291,64.8,647,4.6,16,26.3,89,
Goomalling,WA,31.1,264,65.6,546,5.5,13,24.1,58,
Gosnells,WA,25.7,"23,032",62.1,"56,114",7,"1,882",27.2,"7,224",
Halls Creek,WA,,,,,,,,,
Harvey,WA,30.8,"6,504",64.6,"13,486",6.1,469,24.7,"1,947",
Irwin,WA,31.6,962,66.4,"1,974",6.1,48,23.9,194,
Jerramungup,WA,28.9,241,64.8,535,4.6,13,26.3,74,
Joondalup,WA,22.4,"29,183",59,"75,941",4.6,"1,564",24.6,"8,400",
Kalamunda,WA,25.3,"11,677",62,"28,450",5.4,683,23.8,"3,014",
Kalgoorlie/Boulder,WA,,,,,,,,,
Katanning,WA,33,"1,121",66.2,"2,208",7,87,31.3,403,
Kellerberrin,WA,31.8,290,66.2,595,5.8,15,25,65,
Kent,WA,,,,,,,,,
Kojonup,WA,28.9,454,64.8,"1,008",4.6,24,26.3,139,
Kondinin,WA,30.1,260,64.7,549,5.5,12,24.4,54,
Koorda,WA,,,,,,,,,
Kulin,WA,,,,,,,,,
Kwinana,WA,30.7,"7,700",68.2,"17,364",8.5,720,27.2,"2,246",
Lake Grace,WA,30.1,340,64.7,717,5.5,16,24.4,71,
Laverton,WA,,,,,,,,,
Leonora,WA,,,,,,,,,
Mandurah,WA,28.4,"18,722",65.1,"42,499",6.7,"1,114",23.6,"3,926",
Manjimup,WA,28.5,"2,255",62.5,"4,826",5.6,135,24.1,615,
Meekatharra,WA,,,,,,,,,
Melville,WA,17.6,"14,775",54.3,"45,389",4.2,793,22.3,"4,272",
Menzies,WA,,,,,,,,,
Merredin,WA,31.8,809,66.2,"1,660",5.8,41,25,180,
Mingenew,WA,,,,,,,,,
Moora,WA,31.1,664,65.6,"1,370",5.5,33,24.1,145,
Morawa,WA,,,,,,,,,
Mosman Park,WA,14.3,"1,072",49.8,"3,724",3.7,60,19.7,325,
Mount Magnet,WA,,,,,,,,,
Mount Marshall,WA,,,,,,,,,
Mukinbudin ,WA,,,,,,,,,
Mullewa,WA,,,,,,,,,
Mundaring,WA,23.7,"7,275",60.5,"18,215",5.6,437,24,"1,912",
Murchison,WA,,,,,,,,,
Murray,WA,28.7,"3,879",65.9,"8,794",6.8,251,22.2,829,
Nannup,WA,28.5,310,62.5,663,5.6,19,24.1,84,
Narembeen,WA,,,,,,,,,
Narrogin (S),WA,,,,,,,,,
Narrogin (T),WA,30.2,948,61.7,"1,919",6.6,78,23.9,280,
Nedlands,WA,12.8,"2,191",48.5,"8,246",3.7,164,20.7,938,
Ngaanyatjarraku,WA,,,,,,,,,
Northam,WA,33.8,"3,148",67.7,"6,181",6.7,180,25.2,704,
Northampton,WA,31.6,861,66.4,"1,767",6.1,43,23.9,174,
nungarin,WA,,,,,,,,,
Peppermint Grove,WA,14.3,191,49.8,662,3.7,11,19.7,58,
Perenjori,WA,,,,,,,,,
Perth,WA,15.5,"2,547",47,"8,075",4.7,61,23.7,289,
Pingelly,WA,30.2,311,64.1,646,5,13,25.9,65,
Plantagenet,WA,28.7,"1,337",62.8,"2,855",5.3,65,22.9,294,
Port Headland,WA,26.2,"2,591",62.2,6256,7.1,254,23.1,813,
Quairading,WA,31.8,257,66.2,527,5.8,13,25,57,
Ravensthorpe,WA,,,,,,,,,
Rockingham,WA,28.3,"25,880",65.4,"60,030",7.1,"2,115",25.9,"7,638",
Roebourne,WA,26.9,"4,093",62.4,"9,640",6.7,382,23.2,"1,308",
Sandstone ,WA,,,,,,,,,
Serpentine-Jarrahdale,WA,26.2,"4,351",64,"10,596",6.1,372,23.4,"1,415",
Shark Bay,WA,,,,,,,,,
South Perth,WA,17,"6,025",52.4,"18,696",4.6,309,22,"1,441",
Stirling,WA,20.6,"35,797",56.9,"100,218",5.4,"2,079",24.9,"9,320",
Subiaco,WA,15.1,"2,318",49.9,"7,733",4.3,143,21.6,708,
Swan,WA,27.1,"26,059",64.2,"61,866",6.7,"1,993",25.5,"7,576",
Tammin,WA,,,,,,,,,
Three Springs,WA,,,,,,,,,
Toodyay,WA,31.1,"1,175",65.6,"2,426",5.5,58,24.1,256,
Trayning,WA,,,,,,,,,
Upper Gascoyne,WA,,,,,,,,,
Victoria Park,WA,20.2,"5,885",55.9,"16,794",5.6,293,26.7,"1,319",
Victoria Plains,WA,,,,,,,,,
Vincent,WA,17.2,"4,827",51.9,"15,052",4.7,229,22.4,"1,056",
Wagin,WA,30.1,461,64.7,973,5.5,22,24.4,96,
Wandering,WA,,,,,,,,,
Wanneroo,WA,29.1,"38,077",65.2,"86,030",7.2,"3,291",28,"12,582",
Waroona,WA,33,"1,061",66.8,"2,111",6.5,65,24.8,255,
West Arthur,WA,,,,,,,,,
Westonia,WA,,,,,,,,,
Wickepin,WA,,,,,,,,,
Williams,WA,,,,,,,,,
Wiluna,WA,,,,,,,,,
Wongan-Ballidu,WA,31.1,384,65.6,793,5.5,19,24.1,84,
Woodanilling,WA,,,,,,,,,
Wyalkatchem,WA,,,,,,,,,
Wyndham-East Kimberley ,WA,,,,,,,,,
Yalgoo,WA,,,,,,,,,
Yilgarn,WA,31.8,403,66.2,827,5.8,20,25,90,
York ,WA,33.8,"1,012",67.7,"1,987",6.7,58,25.2,226,
