id,postcode,suburb,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_CODE_2021,SA1_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,RA_2011,RA_2016,RA_2021,RA_2021_NAME,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating,sed_code,sed_name
"4746","3000","MELBOURNE","VIC","144.9825846","-37.81443733","CITY DELIVERY CENTRE","Delivery Area","Updated 17-Mar-2024 AUSPOST","20604","Melbourne City","206","Melbourne - Inner","R1","-37.8152065","144.963937","20604150622","North Melbourne","206041506","North Melbourne","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Melbourne","27.3321876525879","V1","PHN201","North Western Melbourne","Melbourne","24600","Melbourne","Inner Metropolitan","24703","Melbourne (Northern Metropolitan)"
"4747","3001","MELBOURNE","VIC","144.9825846","-37.81443733","CITY MAIL PROCESSING CENTRE","Post Office Boxes","Updated 17-Mar-2024 AUSPOST","20605","Port Phillip","206","Melbourne - Inner","R1","-37.8136276","144.9630576","","","","","","","","","1","1","","","1","1","Melbourne","27.3321876525879","V1","PHN203","","Melbourne","24600","Maribyrnong","","",""
"4748","3002","EAST MELBOURNE","VIC","144.9825846","-37.81443733","CITY DELIVERY CENTRE","Delivery Area","Updated 17-Mar-2024 AUSPOST","20604","Melbourne City","206","Melbourne - Inner","R1","-37.8161444","144.9804594","20604111915","East Melbourne","206041119","East Melbourne","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Melbourne","27.3321876525879","V1","PHN201","North Western Melbourne","Melbourne","24600","Melbourne","Inner Metropolitan","24703","Melbourne (Northern Metropolitan)"
"4749","3003","WEST MELBOURNE","VIC","144.949592","-37.810871","CITY DELIVERY CENTRE","Delivery Area","Updated 6-Feb-2020","20604","Melbourne City","206","Melbourne - Inner","R1","-37.8114504","144.9253974","20604151016","West Melbourne","206041510","West Melbourne - Residential","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Melbourne","15.3160629272461","V1","PHN201","North Western Melbourne","Melbourne","24600","Melbourne","Inner Metropolitan","24703","Melbourne (Northern Metropolitan)"
"4750","3004","MELBOURNE","VIC","144.9825846","-37.81443733","CITY DELIVERY CENTRE","Delivery Area","Updated 17-Mar-2024 AUSPOST","20605","Port Phillip","206","Melbourne - Inner","R1","-37.8301583","144.9804594","20605151429","Melbourne","206051514","St Kilda - West","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Macnamara","27.3321876525879","V1","PHN203","South Eastern Melbourne","Melbourne","24600","Macnamara","Inner Metropolitan","26906","Prahran (Southern Metropolitan)"
"4751","3004","ST KILDA ROAD CENTRAL","VIC","144.970161","-37.844246","Melbourne Metro","","Updated 6-Feb-2020","20605","Port Phillip","206","Melbourne - Inner","R1","-37.8368","144.976","20605151429","Melbourne","206051514","St Kilda - West","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Macnamara","-3492","V1","PHN203","South Eastern Melbourne","Melbourne","24600","Macnamara","Inner Metropolitan","26906","Prahran (Southern Metropolitan)"
"22851","3004","ST KILDA ROAD MELBOURNE","VIC","144.976","-37.8368","Melbourne Metro","","Updated 25-Jan-2020","20605","Port Phillip","206","Melbourne - Inner","R1","-37.8368","144.976","20605151429","Melbourne","206051514","St Kilda - West","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Macnamara","-3492","V1","PHN203","South Eastern Melbourne","Melbourne","24600","Macnamara","Inner Metropolitan","26906","Prahran (Southern Metropolitan)"
"4752","3005","WORLD TRADE CENTRE","VIC","144.950858","-37.824608","CITY DELIVERY CENTRE","Delivery Area","Updated 6-Feb-2020","20604","Melbourne City","206","Melbourne - Inner","R1","-37.8226739","144.953839","","","","","","","","","1","1","","","1","1","Melbourne","","V1","PHN201","North Western Melbourne","Melbourne","24600","Melbourne","","",""
"20754","3006","SOUTH WHARF","VIC","144.9520744","-37.82528675","Melbourne Metro","Delivery Area","Updated 6-Feb-2020","20605","Port Phillip","206","Melbourne - Inner","R1","-37.825","144.952","20605151219","Southbank","206051512","South Melbourne","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Macnamara","3.33676600456238","V1","PHN203","South Eastern Melbourne","Port Phillip","25900","Macnamara","Inner Metropolitan","26906","Prahran (Southern Metropolitan)"
"4753","3006","SOUTHBANK","VIC","144.965926","-37.823258","SOUTH MELBOURNE DC","Delivery Area","Updated 6-Feb-2020","20605","Port Phillip","206","Melbourne - Inner","R1","-37.829","144.957","20605151219","Southbank","206051512","South Melbourne","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Macnamara","3.33676600456238","V1","PHN203","South Eastern Melbourne","Port Phillip","25900","Macnamara","Inner Metropolitan","26906","Prahran (Southern Metropolitan)"
"4754","3008","DOCKLANDS","VIC","144.948039","-37.814719","CITY DELIVERY CENTRE","Delivery Area","Updated 6-Feb-2020","20604","Melbourne City","206","Melbourne - Inner","R1","-37.8170652","144.9419122","20605151104","Port Melbourne","206051511","Port Melbourne Industrial","21402","Mornington Peninsula","214","Mornington Peninsula","1","1","20","Major Cities of Australia","1","1","Melbourne","12.555121421814","V1","PHN203","South Eastern Melbourne","Melbourne","24600","Melbourne","Inner Metropolitan","24703","Melbourne (Northern Metropolitan)"
"4755","3010","UNIVERSITY OF MELBOURNE","VIC","144.961351","-37.796152","CARLTON DC","Delivery Area","Updated 6-Feb-2020","20604","Melbourne City","206","Melbourne - Inner","R1","-37.7983459","144.960974","","","","","","","","","1","1","","","1","1","Melbourne","44.1643333435059","V1","PHN201","North Western Melbourne","Melbourne","24600","Melbourne","","",""
